Date,HomeTeam,AwayTeam,FTHG,FTAG
09/04/2022,Fluminense,Santos,0,0
09/04/2022,Atletico Goianiense,Flamengo,1,1
10/04/2022,Palmeiras,Ceara,2,3
10/04/2022,Coritiba,Goias,3,0
10/04/2022,Botafogo,Corinthians,1,3
10/04/2022,Atletico-MG,Internacional,2,0
10/04/2022,Fortaleza EC,Cuiaba,0,1
10/04/2022,Sao Paulo,Atletico Paranaense,4,0
10/04/2022,Avai,America Mineiro,1,0
11/04/2022,Juventude,RB Bragantino,2,2
16/04/2022,Goias,Palmeiras,1,1
16/04/2022,America Mineiro,Juventude,4,1
16/04/2022,Corinthians,Avai,3,0
17/04/2022,Cuiaba,Fluminense,0,1
17/04/2022,Santos,Coritiba,2,1
17/04/2022,Flamengo,Sao Paulo,3,1
17/04/2022,Internacional,Fortaleza EC,2,1
17/04/2022,Atletico Paranaense,Atletico-MG,0,1
17/04/2022,RB Bragantino,Atletico Goianiense,4,0
17/04/2022,Ceara,Botafogo,1,3
20/04/2022,Flamengo,Palmeiras,0,0
23/04/2022,Atletico Paranaense,Flamengo,1,0
23/04/2022,RB Bragantino,Sao Paulo,1,1
23/04/2022,Palmeiras,Corinthians,3,0
23/04/2022,Fluminense,Internacional,0,1
24/04/2022,Atletico-MG,Coritiba,2,2
24/04/2022,Santos,America Mineiro,3,0
24/04/2022,Juventude,Cuiaba,0,1
24/04/2022,Atletico Goianiense,Botafogo,1,1
25/04/2022,Avai,Goias,3,2
30/04/2022,America Mineiro,Atletico Paranaense,1,0
30/04/2022,Ceara,RB Bragantino,0,1
30/04/2022,Goias,Atletico-MG,2,2
30/04/2022,Cuiaba,Atletico Goianiense,1,1
01/05/2022,Botafogo,Juventude,1,1
01/05/2022,Corinthians,Fortaleza EC,1,0
01/05/2022,Coritiba,Fluminense,3,2
01/05/2022,Internacional,Avai,0,0
02/05/2022,Sao Paulo,Santos,2,1
07/05/2022,Atletico-MG,America Mineiro,1,2
07/05/2022,Atletico Paranaense,Ceara,1,0
08/05/2022,Flamengo,Botafogo,0,1
08/05/2022,Palmeiras,Fluminense,1,1
08/05/2022,Atletico Goianiense,Goias,0,1
08/05/2022,Santos,Cuiaba,4,1
08/05/2022,RB Bragantino,Corinthians,0,1
08/05/2022,Juventude,Internacional,1,1
08/05/2022,Fortaleza EC,Sao Paulo,1,1
09/05/2022,Avai,Coritiba,2,1
11/05/2022,RB Bragantino,Atletico-MG,1,1
14/05/2022,Palmeiras,RB Bragantino,2,0
14/05/2022,Ceara,Flamengo,2,2
14/05/2022,Internacional,Corinthians,2,2
14/05/2022,Atletico-MG,Atletico Goianiense,2,0
15/05/2022,Fluminense,Atletico Paranaense,2,1
15/05/2022,Sao Paulo,Cuiaba,2,1
15/05/2022,Coritiba,America Mineiro,1,0
15/05/2022,Botafogo,Fortaleza EC,3,1
15/05/2022,Avai,Juventude,1,2
15/05/2022,Goias,Santos,1,0
21/05/2022,Flamengo,Goias,1,0
21/05/2022,Atletico Goianiense,Coritiba,2,0
21/05/2022,Santos,Ceara,0,0
21/05/2022,Juventude,Palmeiras,0,3
22/05/2022,America Mineiro,Botafogo,1,1
22/05/2022,Cuiaba,Internacional,1,1
22/05/2022,Corinthians,Sao Paulo,1,1
22/05/2022,Fortaleza EC,Fluminense,0,1
22/05/2022,Atletico Paranaense,Avai,2,1
28/05/2022,Goias,RB Bragantino,1,1
28/05/2022,Sao Paulo,Ceara,2,2
28/05/2022,Fortaleza EC,Juventude,1,1
29/05/2022,Santos,Palmeiras,0,1
29/05/2022,Coritiba,Botafogo,1,0
29/05/2022,Fluminense,Flamengo,1,2
29/05/2022,Corinthians,America Mineiro,1,1
29/05/2022,Cuiaba,Atletico Paranaense,0,1
29/05/2022,Atletico-MG,Avai,2,1
30/05/2022,Internacional,Atletico Goianiense,1,1
01/06/2022,Fortaleza EC,Ceara,0,1
04/06/2022,America Mineiro,Cuiaba,2,1
04/06/2022,Ceara,Coritiba,1,1
04/06/2022,Atletico Paranaense,Santos,2,2
04/06/2022,Avai,Sao Paulo,1,1
04/06/2022,Atletico Goianiense,Corinthians,0,1
05/06/2022,Juventude,Fluminense,1,0
05/06/2022,Palmeiras,Atletico-MG,0,0
05/06/2022,Flamengo,Fortaleza EC,1,2
05/06/2022,RB Bragantino,Internacional,0,2
