Date,HomeTeam,AwayTeam,FTHG,FTAG
15/02/2025,Gwangju FC,Suwon City FC,0,0
15/02/2025,Jeju United FC,FC Seoul,2,0
15/02/2025,Pohang Steelers,Daejeon Citizen,0,3
16/02/2025,Daegu FC,Gangwon FC,2,1
16/02/2025,Jeonbuk Motors,Gimcheon Sangmu FC,2,1
16/02/2025,Ulsan Hyundai FC,FC Anyang,0,1
22/02/2025,Daegu FC,Suwon City FC,3,1
22/02/2025,FC Seoul,FC Anyang,2,1
22/02/2025,Jeju United FC,Gimcheon Sangmu FC,2,3
23/02/2025,Daejeon Citizen,Ulsan Hyundai FC,0,2
23/02/2025,Gangwon FC,Pohang Steelers,2,1
23/02/2025,Jeonbuk Motors,Gwangju FC,2,2
01/03/2025,Gwangju FC,FC Anyang,2,1
01/03/2025,Pohang Steelers,Daegu FC,0,0
01/03/2025,Ulsan Hyundai FC,Jeonbuk Motors,1,0
02/03/2025,Daejeon Citizen,Suwon City FC,1,0
02/03/2025,Gangwon FC,Jeju United FC,0,0
03/03/2025,FC Seoul,Gimcheon Sangmu FC,0,0
08/03/2025,Daegu FC,Daejeon Citizen,1,2
08/03/2025,FC Anyang,Gimcheon Sangmu FC,1,3
08/03/2025,Suwon City FC,FC Seoul,0,0
09/03/2025,Jeonbuk Motors,Gangwon FC,0,1
09/03/2025,Ulsan Hyundai FC,Jeju United FC,2,0
15/03/2025,Daegu FC,FC Anyang,0,1
15/03/2025,Gangwon FC,FC Seoul,0,1
15/03/2025,Jeju United FC,Daejeon Citizen,1,3
16/03/2025,Gimcheon Sangmu FC,Gwangju FC,0,0
16/03/2025,Jeonbuk Motors,Pohang Steelers,2,2
16/03/2025,Suwon City FC,Ulsan Hyundai FC,1,1
22/03/2025,Gwangju FC,Pohang Steelers,2,3
29/03/2025,Daejeon Citizen,Gwangju FC,1,1
29/03/2025,FC Seoul,Daegu FC,3,2
29/03/2025,Pohang Steelers,Ulsan Hyundai FC,1,0
30/03/2025,FC Anyang,Jeonbuk Motors,0,1
30/03/2025,Gimcheon Sangmu FC,Gangwon FC,1,0
30/03/2025,Jeju United FC,Suwon City FC,1,0
01/04/2025,Ulsan Hyundai FC,Daejeon Citizen,2,3
05/04/2025,Daejeon Citizen,Jeonbuk Motors,0,2
05/04/2025,Gimcheon Sangmu FC,Daegu FC,2,0
05/04/2025,Suwon City FC,Pohang Steelers,1,1
05/04/2025,Ulsan Hyundai FC,FC Seoul,0,0
06/04/2025,FC Anyang,Gangwon FC,2,0
06/04/2025,Gwangju FC,Jeju United FC,1,0
09/04/2025,Gwangju FC,Daegu FC,2,1
12/04/2025,FC Seoul,Daejeon Citizen,2,2
12/04/2025,Pohang Steelers,FC Anyang,2,1
12/04/2025,Suwon City FC,Gimcheon Sangmu FC,3,2
13/04/2025,Daegu FC,Ulsan Hyundai FC,0,1
13/04/2025,Gangwon FC,Gwangju FC,1,0
13/04/2025,Jeonbuk Motors,Jeju United FC,1,1
19/04/2025,FC Anyang,Suwon City FC,3,1
19/04/2025,FC Seoul,Gwangju FC,1,2
19/04/2025,Gimcheon Sangmu FC,Daejeon Citizen,0,2
19/04/2025,Ulsan Hyundai FC,Gangwon FC,1,2
20/04/2025,Jeju United FC,Pohang Steelers,2,0
20/04/2025,Jeonbuk Motors,Daegu FC,3,1
23/04/2025,FC Anyang,Ulsan Hyundai FC,0,1
26/04/2025,FC Anyang,Jeju United FC,2,1
26/04/2025,Suwon City FC,Jeonbuk Motors,1,2
27/04/2025,Daejeon Citizen,Gangwon FC,1,0
27/04/2025,Gimcheon Sangmu FC,Ulsan Hyundai FC,2,0
27/04/2025,Pohang Steelers,FC Seoul,1,0
02/05/2025,Pohang Steelers,Gimcheon Sangmu FC,1,2
02/05/2025,Ulsan Hyundai FC,Gwangju FC,3,0
03/05/2025,Daegu FC,Jeju United FC,3,1
03/05/2025,Daejeon Citizen,FC Anyang,2,1
03/05/2025,FC Seoul,Jeonbuk Motors,0,1
03/05/2025,Gangwon FC,Suwon City FC,0,0
05/05/2025,Gwangju FC,Gimcheon Sangmu FC,1,0
05/05/2025,Ulsan Hyundai FC,Pohang Steelers,1,1
06/05/2025,FC Anyang,FC Seoul,1,1
06/05/2025,Jeju United FC,Gangwon FC,0,3
06/05/2025,Jeonbuk Motors,Daejeon Citizen,1,1
06/05/2025,Suwon City FC,Daegu FC,2,1
10/05/2025,Daejeon Citizen,FC Seoul,0,0
10/05/2025,FC Anyang,Daegu FC,2,2
10/05/2025,Pohang Steelers,Suwon City FC,2,0
11/05/2025,Gangwon FC,Gimcheon Sangmu FC,0,4
11/05/2025,Gwangju FC,Jeonbuk Motors,0,1
11/05/2025,Jeju United FC,Ulsan Hyundai FC,1,2
17/05/2025,Gangwon FC,Ulsan Hyundai FC,1,1
