Date,HomeTeam,AwayTeam,FTHG,FTAG
15/08/2024,Granada CF,Albacete,1,2
16/08/2024,Cadiz,Zaragoza,0,4
16/08/2024,Mirandes,Cordoba,1,0
17/08/2024,Deportivo La Coruna,Oviedo,0,1
17/08/2024,Eibar,Castellón,1,0
17/08/2024,Racing Ferrol,Malaga,2,2
18/08/2024,Burgos,FC Cartagena,3,1
18/08/2024,Elche,Huesca,0,1
18/08/2024,Racing Santander,Almeria,2,2
18/08/2024,Sporting Gijon,Levante,1,2
19/08/2024,Eldense,Tenerife,2,1
23/08/2024,Huesca,Deportivo La Coruna,2,1
23/08/2024,Racing Santander,Eibar,2,2
24/08/2024,Levante,Cadiz,1,1
24/08/2024,Malaga,Mirandes,1,1
24/08/2024,Racing Ferrol,Granada CF,0,1
24/08/2024,Sporting Gijon,Eldense,0,0
24/08/2024,Tenerife,Almeria,0,1
25/08/2024,Albacete,Elche,1,0
25/08/2024,Castellón,Oviedo,0,0
26/08/2024,Cordoba,Burgos,2,2
26/08/2024,FC Cartagena,Zaragoza,1,2
30/08/2024,Granada CF,Huesca,1,3
30/08/2024,Oviedo,Racing Santander,1,3
31/08/2024,Almeria,Sporting Gijon,1,1
31/08/2024,Cadiz,Tenerife,2,2
31/08/2024,Malaga,Albacete,2,1
01/09/2024,Burgos,Castellón,0,2
01/09/2024,Deportivo La Coruna,Racing Ferrol,1,0
01/09/2024,Eldense,FC Cartagena,1,2
01/09/2024,Mirandes,Zaragoza,0,0
02/09/2024,Eibar,Levante,2,2
02/09/2024,Elche,Cordoba,3,1
06/09/2024,Tenerife,Racing Santander,0,1
07/09/2024,Cordoba,Malaga,0,0
07/09/2024,Granada CF,Deportivo La Coruna,1,1
07/09/2024,Huesca,Burgos,0,1
07/09/2024,Sporting Gijon,Oviedo,3,1
08/09/2024,Eldense,Almeria,1,0
08/09/2024,FC Cartagena,Levante,0,1
08/09/2024,Racing Ferrol,Mirandes,0,0
08/09/2024,Zaragoza,Elche,3,0
09/09/2024,Albacete,Eibar,0,1
09/09/2024,Castellón,Cadiz,1,3
13/09/2024,Cordoba,Deportivo La Coruna,2,0
14/09/2024,Eibar,Tenerife,1,0
14/09/2024,Levante,Eldense,3,1
14/09/2024,Malaga,Huesca,1,0
14/09/2024,Racing Santander,Sporting Gijon,1,0
15/09/2024,Burgos,Zaragoza,1,0
15/09/2024,Cadiz,Racing Ferrol,0,0
15/09/2024,Elche,Granada CF,2,2
15/09/2024,Mirandes,Albacete,2,0
15/09/2024,Oviedo,FC Cartagena,1,0
16/09/2024,Almeria,Castellón,2,5
20/09/2024,Granada CF,Malaga,2,2
21/09/2024,Deportivo La Coruna,Burgos,0,2
21/09/2024,Eldense,Oviedo,1,1
21/09/2024,Racing Ferrol,Albacete,1,4
21/09/2024,Zaragoza,Levante,2,1
22/09/2024,Almeria,Eibar,2,2
22/09/2024,Castellón,Racing Santander,0,1
22/09/2024,Elche,Mirandes,1,0
22/09/2024,FC Cartagena,Cadiz,1,2
22/09/2024,Tenerife,Sporting Gijon,1,1
23/09/2024,Huesca,Cordoba,4,1
27/09/2024,Albacete,Deportivo La Coruna,2,5
28/09/2024,Cadiz,Eldense,1,2
28/09/2024,Malaga,Elche,0,3
28/09/2024,Mirandes,Huesca,1,0
28/09/2024,Sporting Gijon,Zaragoza,1,0
29/09/2024,Burgos,Granada CF,2,2
29/09/2024,Castellón,Tenerife,2,1
29/09/2024,Cordoba,Racing Ferrol,3,1
29/09/2024,Levante,Almeria,4,2
29/09/2024,Oviedo,Eibar,1,0
30/09/2024,Racing Santander,FC Cartagena,1,2
04/10/2024,Huesca,Cadiz,3,1
05/10/2024,Almeria,Burgos,2,0
05/10/2024,Eibar,Sporting Gijon,1,3
