Date,HomeTeam,AwayTeam,FTHG,FTAG
05/04/2025,Haka,Gnistan,3,2
05/04/2025,Ilves,HJK Helsinki,3,2
05/04/2025,Inter Turku,KuPS,1,1
05/04/2025,Kooteepee,SJK,0,1
05/04/2025,Mariehamn,FF Jaro,0,2
05/04/2025,VPS,AC Oulu,4,3
11/04/2025,Kooteepee,VPS,2,2
11/04/2025,SJK,HJK Helsinki,1,0
12/04/2025,Haka,Mariehamn,0,1
12/04/2025,Ilves,FF Jaro,2,1
12/04/2025,Inter Turku,Gnistan,3,0
12/04/2025,KuPS,AC Oulu,1,0
19/04/2025,Haka,AC Oulu,2,1
19/04/2025,Kooteepee,Ilves,0,5
19/04/2025,KuPS,FF Jaro,1,0
19/04/2025,Mariehamn,SJK,1,2
19/04/2025,VPS,Inter Turku,0,2
22/04/2025,HJK Helsinki,Gnistan,0,1
23/04/2025,KuPS,Mariehamn,4,1
23/04/2025,SJK,AC Oulu,3,1
26/04/2025,AC Oulu,Inter Turku,1,4
26/04/2025,FF Jaro,Kooteepee,2,3
26/04/2025,HJK Helsinki,VPS,3,1
27/04/2025,Gnistan,KuPS,1,2
27/04/2025,Mariehamn,Ilves,3,2
28/04/2025,SJK,Haka,2,2
02/05/2025,Haka,FF Jaro,0,1
02/05/2025,Kooteepee,AC Oulu,1,3
02/05/2025,KuPS,SJK,1,0
02/05/2025,VPS,Ilves,1,0
03/05/2025,Gnistan,Mariehamn,2,0
03/05/2025,Inter Turku,HJK Helsinki,1,1
09/05/2025,Ilves,Haka,3,2
10/05/2025,AC Oulu,Gnistan,2,3
10/05/2025,KuPS,Kooteepee,3,0
10/05/2025,Mariehamn,Inter Turku,2,2
11/05/2025,FF Jaro,HJK Helsinki,0,3
12/05/2025,SJK,VPS,2,3
16/05/2025,Gnistan,SJK,2,2
16/05/2025,Haka,KuPS,1,3
17/05/2025,AC Oulu,Mariehamn,0,1
17/05/2025,HJK Helsinki,Kooteepee,4,1
17/05/2025,Inter Turku,Ilves,3,1
17/05/2025,VPS,FF Jaro,0,0
20/05/2025,HJK Helsinki,SJK,4,2
21/05/2025,Ilves,KuPS,3,0
23/05/2025,Kooteepee,Haka,0,0
24/05/2025,FF Jaro,Gnistan,1,1
24/05/2025,Ilves,AC Oulu,0,0
24/05/2025,Mariehamn,HJK Helsinki,0,4
25/05/2025,KuPS,VPS,0,2
25/05/2025,SJK,Inter Turku,0,1
31/05/2025,AC Oulu,SJK,2,2
