Date,HomeTeam,AwayTeam,FTHG,FTAG
16/08/2024,Le Havre,Paris SG,1,4
17/08/2024,Brest,Marseille,1,5
17/08/2024,Reims,Lille,0,2
17/08/2024,Monaco,St Etienne,1,0
18/08/2024,Auxerre,Nice,2,1
18/08/2024,Angers,Lens,0,1
18/08/2024,Montpellier,Strasbourg,1,1
18/08/2024,Toulouse,Nantes,0,0
18/08/2024,Rennes,Lyon,3,0
23/08/2024,Paris SG,Montpellier,6,0
24/08/2024,Lyon,Monaco,0,2
24/08/2024,Lille,Angers,2,0
24/08/2024,St Etienne,Le Havre,0,2
25/08/2024,Lens,Brest,2,0
25/08/2024,Nantes,Auxerre,2,0
25/08/2024,Nice,Toulouse,1,1
25/08/2024,Strasbourg,Rennes,3,1
25/08/2024,Marseille,Reims,2,2
30/08/2024,Lyon,Strasbourg,4,3
31/08/2024,Brest,St Etienne,4,0
31/08/2024,Montpellier,Nantes,1,3
31/08/2024,Toulouse,Marseille,1,3
01/09/2024,Monaco,Lens,1,1
01/09/2024,Angers,Nice,1,4
01/09/2024,Le Havre,Auxerre,3,1
01/09/2024,Reims,Rennes,2,1
01/09/2024,Lille,Paris SG,1,3
13/09/2024,St Etienne,Lille,1,0
14/09/2024,Marseille,Nice,2,0
14/09/2024,Auxerre,Monaco,0,3
14/09/2024,Paris SG,Brest,3,1
15/09/2024,Rennes,Montpellier,3,0
15/09/2024,Nantes,Reims,1,2
15/09/2024,Strasbourg,Angers,1,1
15/09/2024,Toulouse,Le Havre,2,0
15/09/2024,Lens,Lyon,0,0
20/09/2024,Nice,St Etienne,8,0
21/09/2024,Lille,Strasbourg,3,3
21/09/2024,Rennes,Lens,1,1
21/09/2024,Reims,Paris SG,1,1
22/09/2024,Monaco,Le Havre,3,1
22/09/2024,Angers,Nantes,1,1
22/09/2024,Brest,Toulouse,2,0
22/09/2024,Montpellier,Auxerre,3,2
22/09/2024,Lyon,Marseille,2,3
27/09/2024,Auxerre,Brest,3,0
27/09/2024,Paris SG,Rennes,3,1
28/09/2024,Lens,Nice,0,0
28/09/2024,Le Havre,Lille,0,3
28/09/2024,Monaco,Montpellier,2,1
29/09/2024,Toulouse,Lyon,1,2
29/09/2024,Angers,Reims,1,3
29/09/2024,Nantes,St Etienne,2,2
29/09/2024,Strasbourg,Marseille,1,0
04/10/2024,Marseille,Angers,1,1
05/10/2024,St Etienne,Auxerre,3,1
05/10/2024,Lille,Toulouse,2,1
05/10/2024,Rennes,Monaco,1,2
06/10/2024,Lyon,Nantes,2,0
06/10/2024,Brest,Le Havre,2,0
06/10/2024,Reims,Montpellier,4,2
06/10/2024,Strasbourg,Lens,2,2
06/10/2024,Nice,Paris SG,1,1
18/10/2024,Monaco,Lille,0,0
19/10/2024,Brest,Rennes,1,1
19/10/2024,St Etienne,Lens,0,2
19/10/2024,Paris SG,Strasbourg,4,2
20/10/2024,Le Havre,Lyon,0,4
20/10/2024,Auxerre,Reims,2,1
20/10/2024,Nantes,Nice,1,1
20/10/2024,Toulouse,Angers,1,1
20/10/2024,Montpellier,Marseille,0,5
25/10/2024,Rennes,Le Havre,1,0
26/10/2024,Angers,St Etienne,4,2
26/10/2024,Reims,Brest,1,2
26/10/2024,Lens,Lille,0,2
27/10/2024,Lyon,Auxerre,2,2
27/10/2024,Montpellier,Toulouse,0,3
27/10/2024,Nice,Monaco,2,1
27/10/2024,Strasbourg,Nantes,3,1
27/10/2024,Marseille,Paris SG,0,3
01/11/2024,Monaco,Angers,0,1
01/11/2024,Lille,Lyon,1,1
02/11/2024,Paris SG,Lens,1,0
02/11/2024,Brest,Nice,0,1
02/11/2024,St Etienne,Strasbourg,2,0
03/11/2024,Toulouse,Reims,1,0
03/11/2024,Auxerre,Rennes,4,0
03/11/2024,Le Havre,Montpellier,1,0
03/11/2024,Nantes,Marseille,1,2
08/11/2024,Marseille,Auxerre,1,3
09/11/2024,Strasbourg,Monaco,1,3
09/11/2024,Lens,Nantes,3,2
09/11/2024,Angers,Paris SG,2,4
10/11/2024,Nice,Lille,2,2
10/11/2024,Le Havre,Reims,0,3
10/11/2024,Montpellier,Brest,3,1
10/11/2024,Rennes,Toulouse,0,2
10/11/2024,Lyon,St Etienne,1,0
22/11/2024,Monaco,Brest,3,2
22/11/2024,Paris SG,Toulouse,3,0
23/11/2024,Lens,Marseille,1,3
23/11/2024,St Etienne,Montpellier,1,0
23/11/2024,Reims,Lyon,1,1
24/11/2024,Lille,Rennes,1,0
24/11/2024,Auxerre,Angers,1,0
24/11/2024,Nantes,Le Havre,0,2
24/11/2024,Nice,Strasbourg,2,1
29/11/2024,Reims,Lens,0,2
30/11/2024,Rennes,St Etienne,5,0
30/11/2024,Brest,Strasbourg,3,1
30/11/2024,Paris SG,Nantes,1,1
01/12/2024,Montpellier,Lille,2,2
01/12/2024,Le Havre,Angers,0,1
01/12/2024,Lyon,Nice,4,1
01/12/2024,Toulouse,Auxerre,2,0
01/12/2024,Marseille,Monaco,2,1
06/12/2024,Lille,Brest,3,1
06/12/2024,Auxerre,Paris SG,0,0
07/12/2024,Monaco,Toulouse,2,0
07/12/2024,Nice,Le Havre,2,1
07/12/2024,Angers,Lyon,0,3
08/12/2024,Lens,Montpellier,2,0
08/12/2024,Nantes,Rennes,1,0
08/12/2024,Strasbourg,Reims,0,0
08/12/2024,St Etienne,Marseille,0,2
13/12/2024,Toulouse,St Etienne,2,1
14/12/2024,Marseille,Lille,1,1
14/12/2024,Auxerre,Lens,2,2
14/12/2024,Reims,Monaco,0,0
15/12/2024,Montpellier,Nice,2,2
15/12/2024,Brest,Nantes,4,1
15/12/2024,Le Havre,Strasbourg,0,3
15/12/2024,Rennes,Angers,2,0
15/12/2024,Paris SG,Lyon,3,1
18/12/2024,Monaco,Paris SG,2,4
03/01/2025,Nice,Rennes,3,2
04/01/2025,St Etienne,Reims,3,1
04/01/2025,Lille,Nantes,1,1
04/01/2025,Lyon,Montpellier,1,0
05/01/2025,Angers,Brest,2,0
05/01/2025,Lens,Toulouse,0,1
