Date,HomeTeam,AwayTeam,FTHG,FTAG
17/10/2025,Adelaide United,Sydney,2,1
17/10/2025,Brisbane Roar,Macarthur,1,0
18/10/2025,Melbourne Victory,Auckland,0,0
18/10/2025,Perth Glory,Wellington Phoenix,2,2
18/10/2025,Western Sydney Wanderers,Melbourne City,1,1
19/10/2025,Central Coast Mariners,Newcastle Jets,3,2
24/10/2025,Newcastle Jets,Melbourne Victory,5,2
25/10/2025,Auckland,Western Sydney Wanderers,1,0
25/10/2025,Melbourne City,Perth Glory,4,0
25/10/2025,Sydney,Central Coast Mariners,2,0
26/10/2025,Wellington Phoenix,Brisbane Roar,2,1
27/10/2025,Macarthur,Adelaide United,2,1
31/10/2025,Brisbane Roar,Melbourne City,0,0
31/10/2025,Perth Glory,Melbourne Victory,0,2
01/11/2025,Auckland,Adelaide United,2,1
01/11/2025,Macarthur,Western Sydney Wanderers,1,1
01/11/2025,Newcastle Jets,Sydney,1,4
02/11/2025,Central Coast Mariners,Wellington Phoenix,1,1
07/11/2025,Adelaide United,Western Sydney Wanderers,2,0
07/11/2025,Perth Glory,Central Coast Mariners,0,1
08/11/2025,Melbourne Victory,Melbourne City,0,2
08/11/2025,Wellington Phoenix,Auckland,1,2
09/11/2025,Brisbane Roar,Newcastle Jets,3,0
09/11/2025,Sydney,Macarthur,2,0
21/11/2025,Adelaide United,Melbourne City,4,1
22/11/2025,Sydney,Melbourne Victory,3,0
22/11/2025,Wellington Phoenix,Macarthur,0,1
22/11/2025,Western Sydney Wanderers,Central Coast Mariners,3,2
23/11/2025,Auckland,Brisbane Roar,1,1
23/11/2025,Newcastle Jets,Perth Glory,1,2
28/11/2025,Brisbane Roar,Melbourne Victory,1,0
29/11/2025,Central Coast Mariners,Melbourne City,0,0
29/11/2025,Wellington Phoenix,Adelaide United,2,1
29/11/2025,Western Sydney Wanderers,Sydney,1,0
30/11/2025,Auckland,Newcastle Jets,1,2
30/11/2025,Macarthur,Perth Glory,0,2
05/12/2025,Macarthur,Melbourne Victory,0,0
05/12/2025,Perth Glory,Western Sydney Wanderers,1,0
06/12/2025,Auckland,Wellington Phoenix,3,1
06/12/2025,Central Coast Mariners,Sydney,1,2
06/12/2025,Newcastle Jets,Melbourne City,0,1
07/12/2025,Adelaide United,Brisbane Roar,0,1
12/12/2025,Central Coast Mariners,Auckland,1,2
13/12/2025,Melbourne Victory,Adelaide United,2,1
13/12/2025,Perth Glory,Sydney,0,1
13/12/2025,Western Sydney Wanderers,Brisbane Roar,0,0
14/12/2025,Wellington Phoenix,Newcastle Jets,1,3
19/12/2025,Macarthur,Brisbane Roar,2,1
19/12/2025,Western Sydney Wanderers,Auckland,0,2
20/12/2025,Melbourne City,Melbourne Victory,0,1
20/12/2025,Newcastle Jets,Sydney,2,0
20/12/2025,Perth Glory,Adelaide United,0,1
21/12/2025,Wellington Phoenix,Central Coast Mariners,3,1
23/12/2025,Melbourne City,Macarthur,1,1
26/12/2025,Newcastle Jets,Macarthur,4,5
27/12/2025,Adelaide United,Western Sydney Wanderers,3,2
28/12/2025,Melbourne City,Perth Glory,1,3
29/12/2025,Melbourne Victory,Wellington Phoenix,5,1
31/12/2025,Central Coast Mariners,Brisbane Roar,1,2
01/01/2026,Auckland,Newcastle Jets,1,3
01/01/2026,Western Sydney Wanderers,Macarthur,0,1
02/01/2026,Melbourne Victory,Perth Glory,3,2
03/01/2026,Brisbane Roar,Wellington Phoenix,0,3
03/01/2026,Melbourne City,Sydney,0,0
04/01/2026,Adelaide United,Central Coast Mariners,0,4
05/01/2026,Macarthur,Auckland,1,1
06/01/2026,Melbourne City,Brisbane Roar,1,0
09/01/2026,Brisbane Roar,Auckland,0,2
10/01/2026,Macarthur,Sydney,0,3
10/01/2026,Melbourne Victory,Western Sydney Wanderers,0,1
10/01/2026,Perth Glory,Central Coast Mariners,3,0
11/01/2026,Melbourne City,Newcastle Jets,0,1
