Date,HomeTeam,AwayTeam,FTHG,FTAG
17/08/2024,Genoa,Inter,2,2
17/08/2024,Parma,Fiorentina,1,1
17/08/2024,Empoli,Monza,0,0
17/08/2024,Milan,Torino,2,2
18/08/2024,Bologna,Udinese,1,1
18/08/2024,Verona,Napoli,3,0
18/08/2024,Cagliari,Roma,0,0
18/08/2024,Lazio,Venezia,3,1
19/08/2024,Lecce,Atalanta,0,4
19/08/2024,Juventus,Como,3,0
24/08/2024,Parma,Milan,2,1
24/08/2024,Udinese,Lazio,2,1
24/08/2024,Inter,Lecce,2,0
24/08/2024,Monza,Genoa,0,1
25/08/2024,Fiorentina,Venezia,0,0
25/08/2024,Torino,Atalanta,2,1
25/08/2024,Napoli,Bologna,3,0
25/08/2024,Roma,Empoli,1,2
26/08/2024,Cagliari,Como,1,1
26/08/2024,Verona,Juventus,0,3
30/08/2024,Venezia,Torino,0,1
30/08/2024,Inter,Atalanta,4,0
31/08/2024,Bologna,Empoli,1,1
31/08/2024,Lecce,Cagliari,1,0
31/08/2024,Lazio,Milan,2,2
31/08/2024,Napoli,Parma,2,1
01/09/2024,Fiorentina,Monza,2,2
01/09/2024,Genoa,Verona,0,2
01/09/2024,Juventus,Roma,0,0
01/09/2024,Udinese,Como,1,0
14/09/2024,Como,Bologna,2,2
14/09/2024,Empoli,Juventus,0,0
14/09/2024,Milan,Venezia,4,0
15/09/2024,Genoa,Roma,1,1
15/09/2024,Atalanta,Fiorentina,3,2
15/09/2024,Torino,Lecce,0,0
15/09/2024,Cagliari,Napoli,0,4
15/09/2024,Monza,Inter,1,1
16/09/2024,Parma,Udinese,2,3
16/09/2024,Lazio,Verona,2,1
20/09/2024,Cagliari,Empoli,0,2
20/09/2024,Verona,Torino,2,3
21/09/2024,Venezia,Genoa,2,0
21/09/2024,Juventus,Napoli,0,0
21/09/2024,Lecce,Parma,2,2
22/09/2024,Fiorentina,Lazio,2,1
22/09/2024,Monza,Bologna,1,2
22/09/2024,Roma,Udinese,3,0
22/09/2024,Inter,Milan,1,2
24/09/2024,Atalanta,Como,2,3
27/09/2024,Milan,Lecce,3,0
28/09/2024,Udinese,Inter,2,3
28/09/2024,Genoa,Juventus,0,3
28/09/2024,Bologna,Atalanta,1,1
29/09/2024,Torino,Lazio,2,3
29/09/2024,Como,Verona,3,2
29/09/2024,Roma,Venezia,2,1
29/09/2024,Empoli,Fiorentina,0,0
29/09/2024,Napoli,Monza,2,0
30/09/2024,Parma,Cagliari,2,3
04/10/2024,Napoli,Como,3,1
04/10/2024,Verona,Venezia,2,1
05/10/2024,Udinese,Lecce,1,0
05/10/2024,Atalanta,Genoa,5,1
05/10/2024,Inter,Torino,3,2
06/10/2024,Juventus,Cagliari,1,1
06/10/2024,Bologna,Parma,0,0
06/10/2024,Lazio,Empoli,2,1
06/10/2024,Monza,Roma,1,1
06/10/2024,Fiorentina,Milan,2,1
19/10/2024,Como,Parma,1,1
19/10/2024,Genoa,Bologna,2,2
19/10/2024,Milan,Udinese,1,0
19/10/2024,Juventus,Lazio,1,0
20/10/2024,Empoli,Napoli,0,1
20/10/2024,Lecce,Fiorentina,0,6
20/10/2024,Venezia,Atalanta,0,2
20/10/2024,Cagliari,Torino,3,2
20/10/2024,Roma,Inter,0,1
21/10/2024,Verona,Monza,0,3
25/10/2024,Udinese,Cagliari,2,0
25/10/2024,Torino,Como,1,0
26/10/2024,Napoli,Lecce,1,0
26/10/2024,Atalanta,Verona,6,1
27/10/2024,Parma,Empoli,1,1
27/10/2024,Lazio,Genoa,3,0
27/10/2024,Monza,Venezia,2,2
27/10/2024,Inter,Juventus,4,4
27/10/2024,Fiorentina,Roma,5,1
29/10/2024,Cagliari,Bologna,0,2
29/10/2024,Lecce,Verona,1,0
29/10/2024,Milan,Napoli,0,2
30/10/2024,Empoli,Inter,0,3
30/10/2024,Venezia,Udinese,3,2
30/10/2024,Atalanta,Monza,2,0
30/10/2024,Juventus,Parma,2,2
31/10/2024,Genoa,Fiorentina,0,1
31/10/2024,Como,Lazio,1,5
31/10/2024,Roma,Torino,1,0
02/11/2024,Bologna,Lecce,1,0
02/11/2024,Udinese,Juventus,0,2
02/11/2024,Monza,Milan,0,1
03/11/2024,Napoli,Atalanta,0,3
03/11/2024,Torino,Fiorentina,0,1
03/11/2024,Verona,Roma,3,2
03/11/2024,Inter,Venezia,1,0
04/11/2024,Empoli,Como,1,0
04/11/2024,Parma,Genoa,0,1
04/11/2024,Lazio,Cagliari,2,1
07/11/2024,Genoa,Como,1,1
08/11/2024,Lecce,Empoli,1,1
09/11/2024,Venezia,Parma,1,2
09/11/2024,Cagliari,Milan,3,3
09/11/2024,Juventus,Torino,2,0
10/11/2024,Atalanta,Udinese,2,1
10/11/2024,Fiorentina,Verona,3,1
10/11/2024,Roma,Bologna,2,3
