Date,HomeTeam,AwayTeam,FTHG,FTAG
07/03/2025,Austin II,Colorado Rapids II,4,2
08/03/2025,Atlanta United II,New York RB II,0,1
08/03/2025,Inter Miami II,Chattanooga,1,2
08/03/2025,Ventura County,Tacoma Defiance,3,2
09/03/2025,Chicago Fire II,Huntsville City,1,4
09/03/2025,FC Cincinnati II,Toronto II,0,1
09/03/2025,Houston Dynamo FC II,Sporting KC II,3,1
09/03/2025,Orlando City II,Columbus Crew II,2,1
10/03/2025,North Texas,St. Louis City II,0,3
13/03/2025,New England II,FC Cincinnati II,2,0
14/03/2025,Austin II,Minnesota United II,0,1
14/03/2025,Chicago Fire II,Toronto II,1,0
14/03/2025,New York City II,Columbus Crew II,2,0
14/03/2025,Sporting KC II,St. Louis City II,0,1
15/03/2025,Chattanooga,Huntsville City,1,0
15/03/2025,Los Angeles FC II,Ventura County,3,1
15/03/2025,North Texas,Vancouver Whitecaps II,3,2
15/03/2025,Tacoma Defiance,The Town,3,1
16/03/2025,Portland Timbers II,Real Monarchs,2,3
23/03/2025,Houston Dynamo FC II,North Texas,5,1
23/03/2025,Inter Miami II,Columbus Crew II,4,2
23/03/2025,St. Louis City II,Sporting KC II,2,0
24/03/2025,New York City II,Carolina Core,2,1
26/03/2025,Crown Legacy,Orlando City II,0,1
27/03/2025,Ventura County,Houston Dynamo FC II,1,0
28/03/2025,New England II,Toronto II,4,0
30/03/2025,FC Cincinnati II,Chicago Fire II,1,2
30/03/2025,New York RB II,New York City II,3,2
31/03/2025,Houston Dynamo FC II,Minnesota United II,1,3
05/04/2025,Carolina Core,New York City II,5,0
05/04/2025,Chattanooga,Orlando City II,2,0
05/04/2025,Portland Timbers II,North Texas,1,2
06/04/2025,Houston Dynamo FC II,Los Angeles FC II,1,0
06/04/2025,New York RB II,Chicago Fire II,3,2
06/04/2025,St. Louis City II,Colorado Rapids II,0,1
07/04/2025,Atlanta United II,Inter Miami II,3,2
07/04/2025,Real Monarchs,Ventura County,1,2
07/04/2025,Tacoma Defiance,Vancouver Whitecaps II,5,3
09/04/2025,Orlando City II,New England II,1,0
09/04/2025,Sporting KC II,Minnesota United II,2,4
10/04/2025,Inter Miami II,Toronto II,0,1
10/04/2025,Philadelphia Union II,Atlanta United II,5,1
11/04/2025,Los Angeles FC II,Tacoma Defiance,3,2
11/04/2025,Real Monarchs,The Town,2,1
13/04/2025,Carolina Core,Chattanooga,1,4
13/04/2025,Portland Timbers II,Colorado Rapids II,1,2
14/04/2025,Ventura County,St. Louis City II,3,1
15/04/2025,Inter Miami II,Orlando City II,3,2
19/04/2025,Chattanooga,Crown Legacy,2,1
19/04/2025,Vancouver Whitecaps II,Austin II,4,0
20/04/2025,FC Cincinnati II,New York RB II,3,1
20/04/2025,Huntsville City,Chicago Fire II,5,0
21/04/2025,North Texas,Colorado Rapids II,2,3
23/04/2025,New York City II,Philadelphia Union II,1,4
23/04/2025,Sporting KC II,Tacoma Defiance,1,4
24/04/2025,North Texas,The Town,2,0
24/04/2025,Vancouver Whitecaps II,Houston Dynamo FC II,1,3
24/04/2025,Ventura County,Portland Timbers II,2,3
25/04/2025,Colorado Rapids II,Minnesota United II,0,2
25/04/2025,Toronto II,Chicago Fire II,2,0
26/04/2025,Carolina Core,Crown Legacy,1,2
26/04/2025,New England II,New York City II,2,1
27/04/2025,Colorado Rapids II,Sporting KC II,3,0
27/04/2025,Columbus Crew II,Chattanooga,3,0
27/04/2025,Houston Dynamo FC II,Austin II,2,1
27/04/2025,Huntsville City,Inter Miami II,4,0
27/04/2025,Orlando City II,New York RB II,2,4
27/04/2025,Tacoma Defiance,St. Louis City II,4,1
28/04/2025,The Town,Los Angeles FC II,5,1
28/04/2025,Vancouver Whitecaps II,Ventura County,2,3
02/05/2025,Minnesota United II,North Texas,0,1
03/05/2025,Chicago Fire II,Orlando City II,5,1
03/05/2025,Ventura County,Tacoma Defiance,1,2
04/05/2025,Inter Miami II,New York City II,4,2
04/05/2025,St. Louis City II,Houston Dynamo FC II,3,1
05/05/2025,Los Angeles FC II,Colorado Rapids II,3,2
05/05/2025,The Town,Portland Timbers II,5,0
09/05/2025,Chicago Fire II,FC Cincinnati II,2,1
09/05/2025,Crown Legacy,Inter Miami II,4,2
09/05/2025,New York City II,New York RB II,5,2
09/05/2025,Portland Timbers II,Vancouver Whitecaps II,1,0
09/05/2025,Toronto II,Chattanooga,1,2
10/05/2025,Ventura County,Los Angeles FC II,2,1
11/05/2025,Philadelphia Union II,Columbus Crew II,3,0
12/05/2025,The Town,St. Louis City II,4,0
14/05/2025,Ventura County,Austin II,0,1
15/05/2025,New York City II,Toronto II,3,0
15/05/2025,Portland Timbers II,Los Angeles FC II,3,0
15/05/2025,Vancouver Whitecaps II,Tacoma Defiance,5,0
17/05/2025,Orlando City II,Inter Miami II,3,0
18/05/2025,Columbus Crew II,FC Cincinnati II,1,0
18/05/2025,Huntsville City,Chattanooga,1,2
18/05/2025,Minnesota United II,St. Louis City II,2,3
18/05/2025,New York RB II,New England II,4,1
18/05/2025,Vancouver Whitecaps II,Ventura County,0,2
19/05/2025,Colorado Rapids II,Real Monarchs,2,1
19/05/2025,North Texas,Houston Dynamo FC II,2,1
19/05/2025,Portland Timbers II,Tacoma Defiance,2,1
23/05/2025,Sporting KC II,Los Angeles FC II,0,3
23/05/2025,Toronto II,Huntsville City,1,2
24/05/2025,Chattanooga,New England II,1,0
24/05/2025,St. Louis City II,Portland Timbers II,6,3
25/05/2025,Atlanta United II,Orlando City II,3,0
25/05/2025,Columbus Crew II,New York RB II,0,1
25/05/2025,Crown Legacy,FC Cincinnati II,2,0
25/05/2025,Philadelphia Union II,Inter Miami II,0,1
26/05/2025,Colorado Rapids II,The Town,0,3
26/05/2025,Tacoma Defiance,North Texas,2,3
29/05/2025,Minnesota United II,Vancouver Whitecaps II,2,3
29/05/2025,Real Monarchs,Portland Timbers II,4,1
30/05/2025,New York RB II,Atlanta United II,1,0
30/05/2025,Toronto II,Crown Legacy,1,0
31/05/2025,New York City II,New England II,0,1
01/06/2025,Chicago Fire II,Columbus Crew II,5,0
01/06/2025,Inter Miami II,Carolina Core,1,2
01/06/2025,Orlando City II,Chattanooga,2,1
01/06/2025,Sporting KC II,Colorado Rapids II,1,4
02/06/2025,Los Angeles FC II,The Town,1,2
03/06/2025,FC Cincinnati II,Philadelphia Union II,1,4
04/06/2025,Crown Legacy,New York RB II,2,5
05/06/2025,St. Louis City II,North Texas,2,0
06/06/2025,Atlanta United II,New York City II,2,3
07/06/2025,Huntsville City,Orlando City II,2,3
09/06/2025,Colorado Rapids II,Austin II,1,0
11/06/2025,Atlanta United II,Huntsville City,0,1
11/06/2025,Carolina Core,Orlando City II,1,0
12/06/2025,Portland Timbers II,Ventura County,2,3
12/06/2025,Real Monarchs,Tacoma Defiance,2,1
12/06/2025,Toronto II,Inter Miami II,2,0
13/06/2025,Minnesota United II,Houston Dynamo FC II,4,1
13/06/2025,Vancouver Whitecaps II,Los Angeles FC II,2,0
15/06/2025,New England II,FC Cincinnati II,0,1
15/06/2025,New York RB II,Chattanooga,5,2
15/06/2025,North Texas,Austin II,1,2
15/06/2025,Philadelphia Union II,Crown Legacy,3,0
16/06/2025,Colorado Rapids II,St. Louis City II,2,3
16/06/2025,Minnesota United II,Ventura County,0,2
21/06/2025,Carolina Core,New York RB II,1,2
21/06/2025,Columbus Crew II,Philadelphia Union II,1,3
21/06/2025,Vancouver Whitecaps II,North Texas,4,3
22/06/2025,St. Louis City II,The Town,3,1
25/06/2025,Inter Miami II,Chicago Fire II,1,3
25/06/2025,Orlando City II,Toronto II,1,2
26/06/2025,Los Angeles FC II,Minnesota United II,1,0
28/06/2025,Austin II,Sporting KC II,1,0
28/06/2025,Columbus Crew II,Carolina Core,1,0
28/06/2025,St. Louis City II,Houston Dynamo FC II,1,0
29/06/2025,Los Angeles FC II,Tacoma Defiance,2,3
29/06/2025,Minnesota United II,Colorado Rapids II,2,1
29/06/2025,Vancouver Whitecaps II,Real Monarchs,2,3
04/07/2025,Carolina Core,Inter Miami II,1,2
04/07/2025,North Texas,Minnesota United II,3,1
04/07/2025,Ventura County,Vancouver Whitecaps II,1,2
05/07/2025,Austin II,Los Angeles FC II,4,1
05/07/2025,Chattanooga,Chicago Fire II,0,1
05/07/2025,Columbus Crew II,New England II,1,2
05/07/2025,Sporting KC II,Portland Timbers II,0,4
06/07/2025,New York RB II,Huntsville City,1,2
06/07/2025,Philadelphia Union II,Toronto II,5,0
07/07/2025,Colorado Rapids II,Houston Dynamo FC II,2,1
07/07/2025,Real Monarchs,St. Louis City II,1,3
12/07/2025,Austin II,St. Louis City II,2,4
13/07/2025,Atlanta United II,Columbus Crew II,3,2
13/07/2025,Chicago Fire II,New England II,3,4
13/07/2025,FC Cincinnati II,Huntsville City,1,0
13/07/2025,Inter Miami II,Crown Legacy,3,4
13/07/2025,Minnesota United II,Real Monarchs,2,1
13/07/2025,Orlando City II,Carolina Core,3,1
14/07/2025,Houston Dynamo FC II,North Texas,3,0
14/07/2025,Los Angeles FC II,Portland Timbers II,1,0
14/07/2025,The Town,Sporting KC II,3,1
16/07/2025,New York City II,Toronto II,1,0
18/07/2025,Houston Dynamo FC II,Vancouver Whitecaps II,2,4
19/07/2025,Crown Legacy,Philadelphia Union II,0,4
19/07/2025,Huntsville City,Columbus Crew II,2,1
19/07/2025,Sporting KC II,North Texas,1,4
20/07/2025,New England II,Orlando City II,3,0
20/07/2025,New York RB II,New York City II,4,2
20/07/2025,Toronto II,Chicago Fire II,2,3
21/07/2025,Colorado Rapids II,Tacoma Defiance,6,4
23/07/2025,The Town,Minnesota United II,3,2
26/07/2025,Austin II,Houston Dynamo FC II,2,0
26/07/2025,Chattanooga,Crown Legacy,1,3
26/07/2025,Huntsville City,Orlando City II,4,0
26/07/2025,New York City II,Philadelphia Union II,0,2
27/07/2025,Chicago Fire II,New York RB II,9,2
27/07/2025,Columbus Crew II,Toronto II,1,2
27/07/2025,Inter Miami II,FC Cincinnati II,0,3
27/07/2025,St. Louis City II,Minnesota United II,4,0
27/07/2025,The Town,Real Monarchs,4,0
28/07/2025,Los Angeles FC II,Sporting KC II,1,3
28/07/2025,Tacoma Defiance,Portland Timbers II,1,2
30/07/2025,Carolina Core,Philadelphia Union II,3,2
30/07/2025,New England II,Atlanta United II,3,0
31/07/2025,Columbus Crew II,New York RB II,1,2
