Date,HomeTeam,AwayTeam,FTHG,FTAG
29/03/2025,Fredrikstad,Brann,3,0
29/03/2025,Stromsgodset,Rosenborg,1,2
30/03/2025,Bryne,Bodo/Glimt,0,1
30/03/2025,Ham-Kam,Kristiansund BK,2,1
30/03/2025,KFUM Oslo,Sandefjord,3,1
30/03/2025,Molde,Sarpsborg 08 FF,0,2
30/03/2025,Tromso,Haugesund,1,0
30/03/2025,Valerenga,Viking,3,1
05/04/2025,Bodo/Glimt,Ham-Kam,3,0
05/04/2025,Rosenborg,Fredrikstad,1,0
06/04/2025,Brann,Tromso,3,1
06/04/2025,Haugesund,Stromsgodset,0,5
06/04/2025,Kristiansund BK,Bryne,2,1
06/04/2025,Sandefjord,Molde,3,0
06/04/2025,Sarpsborg 08 FF,Valerenga,1,1
06/04/2025,Viking,KFUM Oslo,3,1
09/04/2025,Fredrikstad,Valerenga,2,0
10/04/2025,Brann,Stromsgodset,2,1
10/04/2025,Viking,Kristiansund BK,3,1
20/04/2025,Tromso,Kristiansund BK,2,3
21/04/2025,Bryne,Haugesund,3,1
21/04/2025,Fredrikstad,Sandefjord,3,1
21/04/2025,Ham-Kam,Viking,2,5
21/04/2025,KFUM Oslo,Sarpsborg 08 FF,1,3
21/04/2025,Molde,Bodo/Glimt,2,2
21/04/2025,Stromsgodset,Brann,1,2
21/04/2025,Valerenga,Rosenborg,0,2
27/04/2025,Bodo/Glimt,KFUM Oslo,3,0
27/04/2025,Brann,Bryne,3,2
27/04/2025,Haugesund,Fredrikstad,0,0
27/04/2025,Kristiansund BK,Valerenga,0,2
27/04/2025,Rosenborg,Molde,0,0
27/04/2025,Sandefjord,Ham-Kam,2,0
27/04/2025,Sarpsborg 08 FF,Stromsgodset,2,3
27/04/2025,Viking,Tromso,4,4
30/04/2025,Viking,Haugesund,5,1
01/05/2025,Rosenborg,Kristiansund BK,1,1
02/05/2025,Ham-Kam,KFUM Oslo,0,0
03/05/2025,Valerenga,Brann,2,4
04/05/2025,Molde,Haugesund,2,1
04/05/2025,Rosenborg,Bryne,3,0
04/05/2025,Stromsgodset,Kristiansund BK,1,2
04/05/2025,Tromso,Sandefjord,0,1
04/05/2025,Viking,Sarpsborg 08 FF,0,0
11/05/2025,Brann,Rosenborg,0,0
11/05/2025,Bryne,Molde,0,3
11/05/2025,Haugesund,Viking,1,4
11/05/2025,KFUM Oslo,Tromso,1,3
11/05/2025,Kristiansund BK,Fredrikstad,0,1
11/05/2025,Sandefjord,Valerenga,2,1
11/05/2025,Sarpsborg 08 FF,Ham-Kam,4,0
16/05/2025,Brann,Sarpsborg 08 FF,2,2
16/05/2025,Fredrikstad,KFUM Oslo,1,0
16/05/2025,Molde,Kristiansund BK,0,1
16/05/2025,Rosenborg,Haugesund,1,0
16/05/2025,Stromsgodset,Bryne,0,2
16/05/2025,Tromso,Bodo/Glimt,2,1
16/05/2025,Valerenga,Ham-Kam,1,1
16/05/2025,Viking,Sandefjord,3,1
24/05/2025,Bodo/Glimt,Rosenborg,4,0
24/05/2025,Bryne,Fredrikstad,4,3
25/05/2025,Ham-Kam,Molde,2,1
25/05/2025,Haugesund,Brann,0,2
25/05/2025,Kristiansund BK,Viking,0,1
25/05/2025,Sandefjord,Stromsgodset,3,2
25/05/2025,Sarpsborg 08 FF,Tromso,0,1
26/05/2025,KFUM Oslo,Valerenga,0,1
28/05/2025,Bodo/Glimt,Viking,2,4
28/05/2025,Fredrikstad,Rosenborg,0,2
29/05/2025,Brann,Molde,0,3
31/05/2025,Stromsgodset,Ham-Kam,0,3
31/05/2025,Tromso,Valerenga,2,1
01/06/2025,Brann,Kristiansund BK,4,2
01/06/2025,Bryne,Sandefjord,3,2
01/06/2025,Fredrikstad,Sarpsborg 08 FF,1,1
01/06/2025,Haugesund,Bodo/Glimt,0,4
01/06/2025,Molde,Viking,0,1
01/06/2025,Rosenborg,KFUM Oslo,1,1
21/06/2025,Bodo/Glimt,Brann,3,0
22/06/2025,Ham-Kam,Tromso,1,3
22/06/2025,KFUM Oslo,Stromsgodset,5,0
22/06/2025,Kristiansund BK,Rosenborg,4,1
22/06/2025,Sandefjord,Haugesund,4,0
22/06/2025,Sarpsborg 08 FF,Bryne,1,1
22/06/2025,Valerenga,Molde,2,3
