Date,HomeTeam,AwayTeam,FTHG,FTAG
09/08/2024,Groningen,NAC Breda,4,1
10/08/2024,Feyenoord,Willem II,1,1
10/08/2024,Nijmegen,Twente,1,2
10/08/2024,Almere City,AZ Alkmaar,0,1
10/08/2024,PSV Eindhoven,Waalwijk,5,1
11/08/2024,Sparta Rotterdam,Heracles,0,0
11/08/2024,Go Ahead Eagles,For Sittard,0,2
11/08/2024,Utrecht,Zwolle,1,0
11/08/2024,Ajax,Heerenveen,1,0
16/08/2024,For Sittard,Almere City,3,0
17/08/2024,Heerenveen,Utrecht,1,1
17/08/2024,Twente,Sparta Rotterdam,1,1
17/08/2024,AZ Alkmaar,Nijmegen,1,0
17/08/2024,Waalwijk,Groningen,1,2
18/08/2024,Heracles,PSV Eindhoven,1,3
18/08/2024,Willem II,Go Ahead Eagles,2,0
18/08/2024,Zwolle,Feyenoord,1,5
18/08/2024,NAC Breda,Ajax,2,1
24/08/2024,Nijmegen,Zwolle,1,0
24/08/2024,Almere City,PSV Eindhoven,1,7
24/08/2024,NAC Breda,Utrecht,1,2
25/08/2024,Groningen,AZ Alkmaar,0,0
25/08/2024,Heracles,Willem II,1,1
25/08/2024,Sparta Rotterdam,Feyenoord,1,1
25/08/2024,Go Ahead Eagles,Waalwijk,2,0
30/08/2024,Waalwijk,AZ Alkmaar,0,3
31/08/2024,Almere City,Groningen,1,1
31/08/2024,For Sittard,Nijmegen,0,3
31/08/2024,Heerenveen,NAC Breda,4,0
31/08/2024,Willem II,Sparta Rotterdam,1,2
01/09/2024,Utrecht,Twente,2,1
01/09/2024,Zwolle,Heracles,3,0
01/09/2024,PSV Eindhoven,Go Ahead Eagles,3,0
14/09/2024,PSV Eindhoven,Nijmegen,2,0
14/09/2024,Twente,Zwolle,1,1
14/09/2024,Groningen,Feyenoord,2,2
14/09/2024,NAC Breda,For Sittard,1,0
14/09/2024,AZ Alkmaar,Heerenveen,9,1
15/09/2024,Sparta Rotterdam,Go Ahead Eagles,1,2
15/09/2024,Willem II,Waalwijk,3,0
15/09/2024,Heracles,Almere City,0,0
17/09/2024,Twente,Heerenveen,2,0
18/09/2024,Ajax,For Sittard,5,0
20/09/2024,Zwolle,AZ Alkmaar,1,2
21/09/2024,Utrecht,Willem II,3,2
21/09/2024,Waalwijk,Sparta Rotterdam,1,2
21/09/2024,Go Ahead Eagles,Ajax,1,1
21/09/2024,Nijmegen,Heracles,1,2
22/09/2024,Heerenveen,Groningen,2,1
22/09/2024,Almere City,Twente,0,5
22/09/2024,Feyenoord,NAC Breda,2,0
22/09/2024,For Sittard,PSV Eindhoven,1,3
27/09/2024,Heracles,Heerenveen,2,1
28/09/2024,Willem II,PSV Eindhoven,0,2
28/09/2024,Nijmegen,Feyenoord,1,1
28/09/2024,Sparta Rotterdam,For Sittard,1,1
29/09/2024,Zwolle,Almere City,1,0
29/09/2024,Groningen,Go Ahead Eagles,0,1
29/09/2024,Twente,NAC Breda,1,0
29/09/2024,Waalwijk,Ajax,0,2
29/09/2024,AZ Alkmaar,Utrecht,1,2
04/10/2024,Almere City,Willem II,0,1
05/10/2024,NAC Breda,Nijmegen,1,0
05/10/2024,PSV Eindhoven,Sparta Rotterdam,2,1
05/10/2024,Utrecht,Waalwijk,3,2
06/10/2024,Go Ahead Eagles,Heracles,4,1
06/10/2024,Feyenoord,Twente,2,1
06/10/2024,Heerenveen,Zwolle,1,1
06/10/2024,Ajax,Groningen,3,1
06/10/2024,For Sittard,AZ Alkmaar,1,0
19/10/2024,Sparta Rotterdam,Almere City,2,2
19/10/2024,AZ Alkmaar,PSV Eindhoven,1,2
19/10/2024,Nijmegen,Heerenveen,3,0
19/10/2024,Waalwijk,Twente,2,2
19/10/2024,Go Ahead Eagles,Feyenoord,1,5
20/10/2024,Willem II,For Sittard,0,0
20/10/2024,Groningen,Utrecht,0,1
20/10/2024,Heracles,Ajax,3,4
20/10/2024,Zwolle,NAC Breda,1,2
25/10/2024,Almere City,Nijmegen,1,0
26/10/2024,For Sittard,Groningen,1,0
26/10/2024,PSV Eindhoven,Zwolle,6,0
26/10/2024,NAC Breda,Waalwijk,4,1
26/10/2024,Heerenveen,Sparta Rotterdam,2,0
27/10/2024,Utrecht,Feyenoord,0,2
27/10/2024,Twente,Heracles,5,0
27/10/2024,Ajax,Willem II,1,0
27/10/2024,AZ Alkmaar,Go Ahead Eagles,2,2
30/10/2024,Feyenoord,Ajax,0,2
02/11/2024,Willem II,Twente,0,1
02/11/2024,Ajax,PSV Eindhoven,3,2
02/11/2024,Heracles,NAC Breda,2,0
02/11/2024,Feyenoord,AZ Alkmaar,3,2
02/11/2024,For Sittard,Heerenveen,3,0
03/11/2024,Go Ahead Eagles,Zwolle,2,2
03/11/2024,Nijmegen,Groningen,6,0
03/11/2024,Sparta Rotterdam,Utrecht,1,4
03/11/2024,Waalwijk,Almere City,2,0
08/11/2024,Utrecht,Heracles,1,0
09/11/2024,Groningen,Sparta Rotterdam,1,0
09/11/2024,Zwolle,For Sittard,3,1
09/11/2024,NAC Breda,PSV Eindhoven,0,3
09/11/2024,Waalwijk,Nijmegen,0,3
10/11/2024,Almere City,Feyenoord,1,4
10/11/2024,Heerenveen,Go Ahead Eagles,1,0
10/11/2024,Twente,Ajax,2,2
10/11/2024,AZ Alkmaar,Willem II,1,2
23/11/2024,Go Ahead Eagles,Almere City,3,0
23/11/2024,Feyenoord,Heerenveen,3,0
23/11/2024,Heracles,Waalwijk,2,2
23/11/2024,For Sittard,Twente,1,2
23/11/2024,PSV Eindhoven,Groningen,5,0
24/11/2024,Nijmegen,Utrecht,1,2
24/11/2024,Sparta Rotterdam,AZ Alkmaar,1,2
24/11/2024,Willem II,NAC Breda,2,2
24/11/2024,Ajax,Zwolle,2,0
29/11/2024,Heerenveen,Waalwijk,1,1
30/11/2024,NAC Breda,Almere City,1,0
30/11/2024,Groningen,Willem II,2,0
30/11/2024,Feyenoord,For Sittard,1,1
30/11/2024,Zwolle,Sparta Rotterdam,1,0
01/12/2024,Utrecht,PSV Eindhoven,2,5
01/12/2024,AZ Alkmaar,Heracles,1,0
01/12/2024,Twente,Go Ahead Eagles,3,2
01/12/2024,Nijmegen,Ajax,1,2
04/12/2024,Ajax,Utrecht,2,2
06/12/2024,PSV Eindhoven,Twente,6,1
07/12/2024,Go Ahead Eagles,Nijmegen,5,0
07/12/2024,Sparta Rotterdam,NAC Breda,0,2
07/12/2024,Waalwijk,Feyenoord,2,3
07/12/2024,Heracles,For Sittard,2,2
08/12/2024,Groningen,Zwolle,0,0
08/12/2024,AZ Alkmaar,Ajax,2,1
08/12/2024,Willem II,Heerenveen,1,2
08/12/2024,Almere City,Utrecht,1,3
13/12/2024,Zwolle,Willem II,0,1
14/12/2024,Heerenveen,PSV Eindhoven,1,0
14/12/2024,For Sittard,Waalwijk,3,2
14/12/2024,Feyenoord,Heracles,5,2
15/12/2024,Utrecht,Go Ahead Eagles,3,3
15/12/2024,Nijmegen,Sparta Rotterdam,1,1
15/12/2024,Twente,Groningen,2,0
15/12/2024,Ajax,Almere City,3,0
15/12/2024,NAC Breda,AZ Alkmaar,1,2
20/12/2024,Waalwijk,Zwolle,1,1
21/12/2024,Go Ahead Eagles,NAC Breda,2,1
21/12/2024,Almere City,Heerenveen,3,0
21/12/2024,AZ Alkmaar,Twente,1,0
22/12/2024,Sparta Rotterdam,Ajax,0,2
22/12/2024,PSV Eindhoven,Feyenoord,3,0
22/12/2024,Utrecht,For Sittard,2,5
22/12/2024,Willem II,Nijmegen,4,1
10/01/2025,For Sittard,Go Ahead Eagles,0,3
11/01/2025,Heracles,Sparta Rotterdam,1,1
11/01/2025,Ajax,Waalwijk,2,1
11/01/2025,Zwolle,Nijmegen,0,1
11/01/2025,PSV Eindhoven,AZ Alkmaar,2,2
12/01/2025,Twente,Willem II,6,2
12/01/2025,Feyenoord,Utrecht,1,2
12/01/2025,Groningen,Almere City,0,0
12/01/2025,NAC Breda,Heerenveen,2,4
18/01/2025,Zwolle,PSV Eindhoven,3,1
18/01/2025,Utrecht,AZ Alkmaar,0,0
18/01/2025,Willem II,Feyenoord,1,1
18/01/2025,Go Ahead Eagles,Groningen,2,1
19/01/2025,NAC Breda,Twente,2,1
19/01/2025,Almere City,Heracles,0,2
19/01/2025,Heerenveen,Ajax,0,2
19/01/2025,Nijmegen,For Sittard,4,1
19/01/2025,Sparta Rotterdam,Waalwijk,1,1
24/01/2025,Heracles,Utrecht,1,1
25/01/2025,PSV Eindhoven,NAC Breda,3,2
25/01/2025,Groningen,Heerenveen,1,0
26/01/2025,For Sittard,Zwolle,1,4
26/01/2025,Waalwijk,Willem II,2,0
26/01/2025,AZ Alkmaar,Sparta Rotterdam,1,2
28/01/2025,Heracles,Groningen,1,1
31/01/2025,NAC Breda,Heracles,1,1
01/02/2025,Zwolle,Utrecht,3,3
01/02/2025,Heerenveen,For Sittard,2,2
01/02/2025,Nijmegen,PSV Eindhoven,3,3
02/02/2025,Almere City,Waalwijk,1,4
02/02/2025,Ajax,Feyenoord,2,1
02/02/2025,Go Ahead Eagles,Twente,2,2
02/02/2025,Sparta Rotterdam,Groningen,1,0
02/02/2025,Willem II,AZ Alkmaar,0,2
08/02/2025,Heracles,Go Ahead Eagles,4,2
08/02/2025,PSV Eindhoven,Willem II,1,1
08/02/2025,Groningen,Nijmegen,2,1
08/02/2025,Feyenoord,Sparta Rotterdam,3,0
09/02/2025,Utrecht,Almere City,0,1
09/02/2025,For Sittard,Ajax,0,2
09/02/2025,Waalwijk,NAC Breda,5,0
09/02/2025,AZ Alkmaar,Zwolle,2,0
09/02/2025,Heerenveen,Twente,3,3
14/02/2025,Go Ahead Eagles,Sparta Rotterdam,1,0
15/02/2025,PSV Eindhoven,Utrecht,2,2
15/02/2025,NAC Breda,Feyenoord,0,0
15/02/2025,Willem II,Groningen,1,3
16/02/2025,Nijmegen,Almere City,2,2
16/02/2025,Twente,Waalwijk,2,0
16/02/2025,Zwolle,Heerenveen,1,1
16/02/2025,Ajax,Heracles,4,0
22/02/2025,Feyenoord,Almere City,2,1
23/02/2025,Ajax,Go Ahead Eagles,2,0
23/02/2025,Twente,Nijmegen,2,0
23/02/2025,AZ Alkmaar,For Sittard,1,0
28/02/2025,Waalwijk,For Sittard,1,2
01/03/2025,Utrecht,NAC Breda,1,0
01/03/2025,Go Ahead Eagles,PSV Eindhoven,3,2
01/03/2025,Groningen,Twente,1,1
01/03/2025,Feyenoord,Nijmegen,0,0
02/03/2025,Heerenveen,AZ Alkmaar,3,1
02/03/2025,Almere City,Ajax,0,1
02/03/2025,Heracles,Zwolle,4,2
02/03/2025,Sparta Rotterdam,Willem II,4,0
07/03/2025,NAC Breda,Sparta Rotterdam,1,1
08/03/2025,For Sittard,Heracles,1,0
08/03/2025,PSV Eindhoven,Heerenveen,2,1
09/03/2025,Willem II,Utrecht,2,3
09/03/2025,Nijmegen,Go Ahead Eagles,2,3
09/03/2025,Zwolle,Ajax,0,1
09/03/2025,Twente,Almere City,1,0
14/03/2025,Almere City,NAC Breda,1,1
15/03/2025,Utrecht,Nijmegen,0,1
15/03/2025,Sparta Rotterdam,Zwolle,1,1
15/03/2025,Waalwijk,PSV Eindhoven,0,3
15/03/2025,Heerenveen,Heracles,1,1
16/03/2025,Go Ahead Eagles,Willem II,1,0
16/03/2025,Groningen,For Sittard,1,0
16/03/2025,Twente,Feyenoord,2,6
16/03/2025,Ajax,AZ Alkmaar,2,2
29/03/2025,NAC Breda,Groningen,1,1
29/03/2025,For Sittard,Sparta Rotterdam,0,3
