Date,HomeTeam,AwayTeam,FTHG,FTAG
09/08/2024,Sp Lisbon,Rio Ave,3,1
10/08/2024,AVS,Nacional,1,1
10/08/2024,Casa Pia,Boavista,0,1
10/08/2024,Porto,Gil Vicente,3,0
11/08/2024,Estoril,Santa Clara,1,4
11/08/2024,Famalicao,Benfica,2,0
11/08/2024,Farense,Moreirense,1,2
11/08/2024,Sp Braga,Estrela,1,1
12/08/2024,Arouca,Guimaraes,0,1
16/08/2024,Santa Clara,Porto,0,2
16/08/2024,Gil Vicente,AVS,4,2
17/08/2024,Rio Ave,Farense,1,0
17/08/2024,Nacional,Sp Lisbon,1,6
17/08/2024,Benfica,Casa Pia,3,0
18/08/2024,Moreirense,Arouca,3,1
18/08/2024,Guimaraes,Estoril,1,0
18/08/2024,Boavista,Sp Braga,0,1
19/08/2024,Estrela,Famalicao,0,3
23/08/2024,Farense,Sp Lisbon,0,5
24/08/2024,Casa Pia,Santa Clara,0,2
24/08/2024,Porto,Rio Ave,2,0
24/08/2024,Benfica,Estrela,1,0
24/08/2024,Famalicao,Boavista,1,0
25/08/2024,Arouca,Nacional,1,0
25/08/2024,Estoril,Gil Vicente,0,0
25/08/2024,AVS,Guimaraes,1,0
25/08/2024,Sp Braga,Moreirense,3,1
30/08/2024,Moreirense,Benfica,1,1
31/08/2024,Santa Clara,AVS,2,1
31/08/2024,Boavista,Estoril,0,0
31/08/2024,Estrela,Casa Pia,0,1
31/08/2024,Sp Lisbon,Porto,2,0
01/09/2024,Nacional,Farense,2,0
01/09/2024,Rio Ave,Arouca,1,0
01/09/2024,Gil Vicente,Sp Braga,0,0
01/09/2024,Guimaraes,Famalicao,2,1
13/09/2024,Arouca,Sp Lisbon,0,3
14/09/2024,Casa Pia,Moreirense,3,1
14/09/2024,AVS,Rio Ave,1,0
14/09/2024,Benfica,Santa Clara,4,1
14/09/2024,Famalicao,Gil Vicente,1,1
15/09/2024,Porto,Farense,2,1
15/09/2024,Estoril,Nacional,1,0
15/09/2024,Sp Braga,Guimaraes,0,2
16/09/2024,Estrela,Boavista,2,2
20/09/2024,Nacional,Sp Braga,0,3
21/09/2024,Rio Ave,Estoril,2,2
21/09/2024,Santa Clara,Estrela,1,0
21/09/2024,Guimaraes,Porto,0,3
21/09/2024,Moreirense,Famalicao,0,0
22/09/2024,Gil Vicente,Casa Pia,1,1
22/09/2024,Farense,Arouca,0,1
22/09/2024,Sp Lisbon,AVS,3,0
23/09/2024,Boavista,Benfica,0,3
27/09/2024,Estoril,Sp Lisbon,0,3
28/09/2024,Estrela,Moreirense,2,1
28/09/2024,Casa Pia,Guimaraes,1,1
28/09/2024,Benfica,Gil Vicente,5,1
29/09/2024,Famalicao,Nacional,0,0
29/09/2024,Porto,Arouca,4,0
29/09/2024,Santa Clara,Boavista,1,0
29/09/2024,Sp Braga,Rio Ave,4,0
30/09/2024,AVS,Farense,0,0
04/10/2024,Rio Ave,Famalicao,1,1
05/10/2024,Gil Vicente,Estrela,3,0
05/10/2024,Moreirense,Santa Clara,1,0
05/10/2024,Arouca,AVS,1,1
05/10/2024,Sp Lisbon,Casa Pia,2,0
06/10/2024,Farense,Estoril,1,0
06/10/2024,Guimaraes,Boavista,2,2
06/10/2024,Porto,Sp Braga,2,1
25/10/2024,Casa Pia,Nacional,1,0
25/10/2024,Santa Clara,Gil Vicente,2,1
26/10/2024,Estoril,Arouca,4,1
26/10/2024,Boavista,Moreirense,0,2
26/10/2024,Famalicao,Sp Lisbon,0,3
27/10/2024,Sp Braga,Farense,2,0
27/10/2024,Benfica,Rio Ave,5,0
27/10/2024,Estrela,Guimaraes,2,2
28/10/2024,AVS,Porto,0,5
01/11/2024,Sp Lisbon,Estrela,5,1
02/11/2024,Rio Ave,Casa Pia,2,2
02/11/2024,Farense,Benfica,1,2
02/11/2024,Gil Vicente,Boavista,1,2
03/11/2024,AVS,Famalicao,2,3
03/11/2024,Arouca,Sp Braga,1,2
03/11/2024,Guimaraes,Moreirense,1,0
03/11/2024,Porto,Estoril,4,0
04/11/2024,Nacional,Santa Clara,2,0
08/11/2024,Moreirense,Gil Vicente,3,2
09/11/2024,Casa Pia,Farense,1,1
09/11/2024,Estoril,AVS,0,0
09/11/2024,Famalicao,Arouca,0,0
09/11/2024,Boavista,Rio Ave,0,2
10/11/2024,Estrela,Nacional,2,0
10/11/2024,Santa Clara,Guimaraes,1,0
10/11/2024,Sp Braga,Sp Lisbon,2,4
10/11/2024,Benfica,Porto,4,1
29/11/2024,Farense,Estrela,1,0
30/11/2024,Rio Ave,Moreirense,3,2
30/11/2024,Nacional,Boavista,0,0
30/11/2024,Sp Lisbon,Santa Clara,0,1
01/12/2024,Estoril,Famalicao,2,1
01/12/2024,Arouca,Benfica,0,2
01/12/2024,AVS,Sp Braga,0,1
02/12/2024,Guimaraes,Gil Vicente,4,0
02/12/2024,Porto,Casa Pia,2,0
05/12/2024,Moreirense,Sp Lisbon,2,1
06/12/2024,Sp Braga,Estoril,2,2
07/12/2024,Gil Vicente,Nacional,2,1
07/12/2024,Benfica,Guimaraes,1,0
07/12/2024,Santa Clara,Rio Ave,1,0
07/12/2024,Famalicao,Porto,1,1
08/12/2024,Boavista,Farense,1,1
08/12/2024,Casa Pia,AVS,1,1
09/12/2024,Estrela,Arouca,2,1
14/12/2024,Farense,Gil Vicente,0,1
14/12/2024,Nacional,Moreirense,1,0
14/12/2024,Sp Lisbon,Boavista,3,2
15/12/2024,Arouca,Santa Clara,1,0
15/12/2024,AVS,Benfica,1,1
15/12/2024,Estoril,Casa Pia,0,2
16/12/2024,Sp Braga,Famalicao,3,3
16/12/2024,Porto,Estrela,2,0
16/12/2024,Rio Ave,Guimaraes,2,2
19/12/2024,Nacional,Benfica,0,2
20/12/2024,Casa Pia,Arouca,3,1
21/12/2024,Famalicao,Farense,1,2
21/12/2024,Boavista,AVS,0,0
21/12/2024,Moreirense,Porto,0,3
22/12/2024,Santa Clara,Sp Braga,0,2
22/12/2024,Gil Vicente,Sp Lisbon,0,0
23/12/2024,Benfica,Estoril,3,0
23/12/2024,Guimaraes,Nacional,2,2
23/12/2024,Estrela,Rio Ave,1,0
27/12/2024,Arouca,Gil Vicente,1,1
28/12/2024,AVS,Estrela,1,1
28/12/2024,Estoril,Moreirense,2,2
28/12/2024,Porto,Boavista,4,0
29/12/2024,Farense,Guimaraes,2,2
29/12/2024,Rio Ave,Nacional,2,1
29/12/2024,Sp Braga,Casa Pia,1,2
29/12/2024,Sp Lisbon,Benfica,1,0
30/12/2024,Famalicao,Santa Clara,1,2
03/01/2025,Guimaraes,Sp Lisbon,4,4
04/01/2025,Moreirense,AVS,1,1
04/01/2025,Benfica,Sp Braga,1,2
04/01/2025,Boavista,Arouca,1,3
05/01/2025,Santa Clara,Farense,0,0
05/01/2025,Casa Pia,Famalicao,1,1
05/01/2025,Estrela,Estoril,2,4
06/01/2025,Gil Vicente,Rio Ave,1,1
12/01/2025,Nacional,Porto,2,0
17/01/2025,Benfica,Famalicao,4,0
18/01/2025,Santa Clara,Estoril,2,3
18/01/2025,Rio Ave,Sp Lisbon,0,3
18/01/2025,Guimaraes,Arouca,2,2
19/01/2025,Moreirense,Farense,0,0
19/01/2025,Nacional,AVS,3,1
19/01/2025,Estrela,Sp Braga,0,1
19/01/2025,Gil Vicente,Porto,3,1
20/01/2025,Boavista,Casa Pia,2,3
24/01/2025,Arouca,Moreirense,1,0
25/01/2025,Famalicao,Estrela,0,0
25/01/2025,Farense,Rio Ave,1,2
25/01/2025,Casa Pia,Benfica,3,1
25/01/2025,Sp Lisbon,Nacional,2,0
26/01/2025,Estoril,Guimaraes,1,0
26/01/2025,Porto,Santa Clara,1,1
26/01/2025,Sp Braga,Boavista,3,0
27/01/2025,AVS,Gil Vicente,1,0
31/01/2025,Boavista,Famalicao,0,2
01/02/2025,Nacional,Arouca,1,2
01/02/2025,Santa Clara,Casa Pia,2,1
01/02/2025,Gil Vicente,Estoril,1,2
01/02/2025,Guimaraes,AVS,2,0
02/02/2025,Sp Lisbon,Farense,3,1
02/02/2025,Estrela,Benfica,2,3
03/02/2025,Moreirense,Sp Braga,1,2
03/02/2025,Rio Ave,Porto,2,2
07/02/2025,Porto,Sp Lisbon,1,1
08/02/2025,AVS,Santa Clara,1,2
08/02/2025,Benfica,Moreirense,3,2
08/02/2025,Famalicao,Guimaraes,0,0
09/02/2025,Estoril,Boavista,2,1
09/02/2025,Farense,Nacional,0,2
09/02/2025,Sp Braga,Gil Vicente,2,0
09/02/2025,Casa Pia,Estrela,1,0
10/02/2025,Arouca,Rio Ave,1,1
14/02/2025,Boavista,Estrela,0,1
15/02/2025,Moreirense,Casa Pia,3,2
15/02/2025,Nacional,Estoril,2,2
15/02/2025,Santa Clara,Benfica,0,1
15/02/2025,Sp Lisbon,Arouca,2,2
16/02/2025,Rio Ave,AVS,1,1
16/02/2025,Farense,Porto,0,1
16/02/2025,Guimaraes,Sp Braga,0,0
17/02/2025,Gil Vicente,Famalicao,0,2
21/02/2025,Sp Braga,Nacional,1,0
22/02/2025,Casa Pia,Gil Vicente,1,0
22/02/2025,Benfica,Boavista,3,0
22/02/2025,Estoril,Rio Ave,2,1
23/02/2025,Arouca,Farense,2,2
23/02/2025,Estrela,Santa Clara,0,0
23/02/2025,AVS,Sp Lisbon,2,2
23/02/2025,Famalicao,Moreirense,2,0
24/02/2025,Porto,Guimaraes,1,1
01/03/2025,Nacional,Famalicao,2,1
01/03/2025,Arouca,Porto,0,2
01/03/2025,Guimaraes,Casa Pia,1,0
02/03/2025,Boavista,Santa Clara,1,0
02/03/2025,Moreirense,Estrela,1,1
02/03/2025,Farense,AVS,0,1
