Date,HomeTeam,AwayTeam,FTHG,FTAG
10/08/2024,Academico Viseu,Chaves,2,1
10/08/2024,Leixoes,Benfica B,2,1
10/08/2024,Mafra,Pacos Ferreira,0,1
10/08/2024,Maritimo,Tondela,2,2
11/08/2024,FC Porto B,Alverca,1,1
11/08/2024,Penafiel,Oliveirense,4,3
11/08/2024,Torreense,Feirense,0,1
11/08/2024,União de Leiria,Vizela,0,2
12/08/2024,Felgueiras 1932,Portimonense,0,0
17/08/2024,Alverca,Felgueiras 1932,1,1
17/08/2024,Oliveirense,Mafra,0,0
17/08/2024,Portimonense,União de Leiria,0,3
18/08/2024,Benfica B,Torreense,2,0
18/08/2024,Chaves,Leixoes,0,0
18/08/2024,Feirense,Academico Viseu,2,2
18/08/2024,Pacos Ferreira,Maritimo,1,2
18/08/2024,Vizela,Penafiel,1,2
19/08/2024,Tondela,FC Porto B,2,2
23/08/2024,União de Leiria,Alverca,1,1
24/08/2024,Felgueiras 1932,Feirense,0,0
24/08/2024,Leixoes,Pacos Ferreira,3,3
24/08/2024,Torreense,Oliveirense,3,0
25/08/2024,Academico Viseu,FC Porto B,2,0
25/08/2024,Benfica B,Vizela,1,0
25/08/2024,Mafra,Portimonense,2,2
25/08/2024,Maritimo,Chaves,1,1
25/08/2024,Penafiel,Tondela,2,2
30/08/2024,Alverca,Academico Viseu,0,4
31/08/2024,Oliveirense,Leixoes,0,1
31/08/2024,Tondela,Felgueiras 1932,1,1
31/08/2024,Vizela,Torreense,1,2
01/09/2024,Chaves,Mafra,0,3
01/09/2024,FC Porto B,União de Leiria,1,1
01/09/2024,Feirense,Benfica B,2,3
01/09/2024,Pacos Ferreira,Penafiel,1,3
01/09/2024,Portimonense,Maritimo,5,1
13/09/2024,Torreense,Portimonense,3,2
14/09/2024,Academico Viseu,União de Leiria,0,1
14/09/2024,Felgueiras 1932,Chaves,1,2
15/09/2024,Benfica B,Oliveirense,2,2
15/09/2024,Leixoes,Vizela,0,1
15/09/2024,Mafra,Tondela,0,4
15/09/2024,Maritimo,Alverca,1,2
15/09/2024,Penafiel,FC Porto B,1,1
16/09/2024,Feirense,Pacos Ferreira,2,0
28/09/2024,Chaves,Torreense,2,1
28/09/2024,Pacos Ferreira,Benfica B,0,3
28/09/2024,Portimonense,Penafiel,0,2
28/09/2024,Tondela,Academico Viseu,4,1
29/09/2024,Alverca,Leixoes,1,1
29/09/2024,FC Porto B,Felgueiras 1932,0,2
29/09/2024,Oliveirense,Feirense,1,0
29/09/2024,União de Leiria,Maritimo,1,1
30/09/2024,Vizela,Mafra,3,0
04/10/2024,Torreense,Tondela,0,2
05/10/2024,Felgueiras 1932,Academico Viseu,1,1
05/10/2024,Leixoes,Portimonense,3,0
05/10/2024,Maritimo,FC Porto B,1,0
05/10/2024,Oliveirense,Pacos Ferreira,0,2
06/10/2024,Benfica B,Chaves,1,0
06/10/2024,Feirense,Vizela,0,0
06/10/2024,Mafra,Alverca,1,1
06/10/2024,Penafiel,União de Leiria,1,0
11/10/2024,União de Leiria,Felgueiras 1932,1,3
12/10/2024,Alverca,Penafiel,2,2
12/10/2024,Tondela,Leixoes,2,1
13/10/2024,Academico Viseu,Maritimo,0,2
13/10/2024,Chaves,Feirense,0,0
13/10/2024,Pacos Ferreira,Torreense,1,0
23/10/2024,FC Porto B,Mafra,2,1
25/10/2024,Pacos Ferreira,Vizela,1,1
26/10/2024,Benfica B,Tondela,1,3
26/10/2024,Feirense,Portimonense,1,1
26/10/2024,Oliveirense,Chaves,0,3
26/10/2024,Penafiel,Academico Viseu,0,2
27/10/2024,Felgueiras 1932,Maritimo,1,3
27/10/2024,Leixoes,FC Porto B,3,0
27/10/2024,Torreense,Alverca,1,0
28/10/2024,Mafra,União de Leiria,2,1
01/11/2024,Alverca,Feirense,1,0
02/11/2024,Chaves,Pacos Ferreira,2,1
02/11/2024,Maritimo,Penafiel,1,2
02/11/2024,Portimonense,Vizela,1,1
03/11/2024,Academico Viseu,Benfica B,1,1
03/11/2024,FC Porto B,Torreense,1,1
03/11/2024,Felgueiras 1932,Mafra,1,1
03/11/2024,União de Leiria,Leixoes,1,0
04/11/2024,Tondela,Oliveirense,2,0
08/11/2024,Vizela,Chaves,0,1
09/11/2024,Feirense,Tondela,1,1
09/11/2024,Mafra,Academico Viseu,0,2
09/11/2024,Oliveirense,Portimonense,0,2
09/11/2024,Penafiel,Felgueiras 1932,2,1
10/11/2024,Benfica B,Alverca,2,1
10/11/2024,Leixoes,Maritimo,2,1
10/11/2024,Pacos Ferreira,FC Porto B,2,2
10/11/2024,Torreense,União de Leiria,2,1
23/11/2024,Feirense,Maritimo,1,0
23/11/2024,Portimonense,Benfica B,0,2
