Date,HomeTeam,AwayTeam,FTHG,FTAG
29/03/2025,BK Hacken,IF Brommapojkarna,2,0
29/03/2025,Djurgardens IF,Malmo FF,0,1
30/03/2025,Halmstad,Degerfors IF,0,5
30/03/2025,Hammarby FF,IFK Goteborg,4,0
30/03/2025,IF Elfsborg,Mjallby AIF,2,2
30/03/2025,IFK Norrkoping,Osters IF,4,3
31/03/2025,Gais,AIK Stockholm,0,1
31/03/2025,IFK Varnamo,Sirius,1,2
05/04/2025,IFK Goteborg,Halmstad,1,0
05/04/2025,Osters IF,BK Hacken,2,0
05/04/2025,Sirius,Djurgardens IF,0,1
06/04/2025,AIK Stockholm,IFK Norrkoping,4,3
06/04/2025,Degerfors IF,IFK Varnamo,1,0
06/04/2025,IF Brommapojkarna,Hammarby FF,0,2
06/04/2025,Mjallby AIF,Gais,1,1
07/04/2025,Malmo FF,IF Elfsborg,2,1
12/04/2025,BK Hacken,Mjallby AIF,0,3
12/04/2025,IF Elfsborg,IFK Norrkoping,2,0
13/04/2025,Gais,Degerfors IF,2,0
13/04/2025,Hammarby FF,Djurgardens IF,2,0
13/04/2025,IFK Varnamo,IFK Goteborg,0,1
13/04/2025,Sirius,IF Brommapojkarna,0,3
14/04/2025,AIK Stockholm,Malmo FF,0,0
14/04/2025,Halmstad,Osters IF,1,0
18/04/2025,Malmo FF,Sirius,1,1
18/04/2025,Mjallby AIF,Hammarby FF,3,1
19/04/2025,Degerfors IF,IF Elfsborg,0,1
19/04/2025,IFK Norrkoping,Halmstad,3,0
20/04/2025,IF Brommapojkarna,IFK Varnamo,3,2
20/04/2025,IFK Goteborg,BK Hacken,2,3
20/04/2025,Osters IF,AIK Stockholm,0,1
21/04/2025,Djurgardens IF,Gais,0,0
23/04/2025,BK Hacken,Degerfors IF,3,4
23/04/2025,Halmstad,Mjallby AIF,1,3
23/04/2025,Hammarby FF,Malmo FF,2,0
23/04/2025,IF Elfsborg,Sirius,4,3
24/04/2025,Djurgardens IF,Osters IF,1,0
24/04/2025,Gais,IF Brommapojkarna,1,1
24/04/2025,IFK Norrkoping,IFK Goteborg,2,3
24/04/2025,IFK Varnamo,AIK Stockholm,1,2
27/04/2025,AIK Stockholm,IF Elfsborg,2,0
27/04/2025,BK Hacken,Hammarby FF,1,1
27/04/2025,IFK Varnamo,IFK Norrkoping,1,3
27/04/2025,Mjallby AIF,Degerfors IF,4,1
27/04/2025,Sirius,Halmstad,1,1
28/04/2025,IFK Goteborg,Gais,1,1
29/04/2025,Malmo FF,Osters IF,2,0
03/05/2025,Degerfors IF,Sirius,1,1
03/05/2025,Halmstad,IFK Varnamo,4,2
04/05/2025,Djurgardens IF,AIK Stockholm,1,1
04/05/2025,IFK Norrkoping,BK Hacken,0,2
04/05/2025,Mjallby AIF,IFK Goteborg,1,0
04/05/2025,Osters IF,Hammarby FF,0,3
05/05/2025,IF Elfsborg,Gais,2,0
05/05/2025,Malmo FF,IF Brommapojkarna,1,2
10/05/2025,Gais,IFK Varnamo,1,1
10/05/2025,IF Brommapojkarna,Halmstad,0,1
10/05/2025,Sirius,BK Hacken,2,0
11/05/2025,AIK Stockholm,Mjallby AIF,2,1
11/05/2025,Degerfors IF,Malmo FF,1,4
11/05/2025,Hammarby FF,IFK Norrkoping,1,1
11/05/2025,Osters IF,IF Elfsborg,0,1
12/05/2025,IFK Goteborg,Djurgardens IF,1,2
14/05/2025,BK Hacken,AIK Stockholm,3,3
14/05/2025,Halmstad,Gais,1,3
14/05/2025,Hammarby FF,Sirius,3,2
15/05/2025,Djurgardens IF,Mjallby AIF,1,3
15/05/2025,IF Elfsborg,IF Brommapojkarna,4,3
15/05/2025,IFK Goteborg,Osters IF,0,1
15/05/2025,IFK Norrkoping,Degerfors IF,1,2
15/05/2025,IFK Varnamo,Malmo FF,2,2
18/05/2025,AIK Stockholm,Hammarby FF,0,0
18/05/2025,BK Hacken,IFK Varnamo,2,0
18/05/2025,Malmo FF,Halmstad,3,0
18/05/2025,Osters IF,Gais,1,1
19/05/2025,Degerfors IF,IFK Goteborg,1,3
19/05/2025,IF Elfsborg,Djurgardens IF,4,0
19/05/2025,Mjallby AIF,IF Brommapojkarna,1,0
19/05/2025,Sirius,IFK Norrkoping,1,2
22/05/2025,Hammarby FF,Mjallby AIF,1,2
