Date,HomeTeam,AwayTeam,FTHG,FTAG
20/07/2024,FC Lugano,Grasshoppers,2,1
20/07/2024,FC Winterthur,FC ST. Gallen,1,0
20/07/2024,Yverdon Sport,FC Zurich,0,2
21/07/2024,BSC Young Boys,FC Sion,1,2
21/07/2024,FC Luzern,Servette FC,1,2
21/07/2024,Lausanne,FC Basel 1893,3,2
24/07/2024,Servette FC,BSC Young Boys,3,1
27/07/2024,FC Basel 1893,FC Lugano,1,2
27/07/2024,FC Sion,Lausanne,4,0
27/07/2024,Grasshoppers,FC Luzern,2,2
28/07/2024,FC ST. Gallen,BSC Young Boys,4,0
28/07/2024,FC Zurich,FC Winterthur,4,2
28/07/2024,Servette FC,Yverdon Sport,3,2
03/08/2024,FC Lugano,Servette FC,3,1
03/08/2024,FC Luzern,FC Sion,1,0
03/08/2024,Grasshoppers,FC Basel 1893,0,3
04/08/2024,BSC Young Boys,FC Zurich,2,2
04/08/2024,FC Winterthur,Yverdon Sport,0,0
04/08/2024,Lausanne,FC ST. Gallen,3,4
10/08/2024,FC Sion,FC Winterthur,2,0
10/08/2024,Yverdon Sport,BSC Young Boys,2,2
11/08/2024,FC Lugano,FC Luzern,2,3
11/08/2024,FC ST. Gallen,Grasshoppers,1,0
11/08/2024,FC Zurich,Lausanne,2,0
11/08/2024,Servette FC,FC Basel 1893,0,6
24/08/2024,FC Luzern,FC Winterthur,3,0
24/08/2024,Grasshoppers,FC Sion,3,1
25/08/2024,FC Basel 1893,Yverdon Sport,2,0
31/08/2024,BSC Young Boys,Lausanne,1,1
31/08/2024,FC Sion,FC Basel 1893,1,1
31/08/2024,Yverdon Sport,Grasshoppers,2,1
01/09/2024,FC Lugano,FC ST. Gallen,1,1
01/09/2024,FC Winterthur,Servette FC,0,1
01/09/2024,FC Zurich,FC Luzern,1,1
18/09/2024,Lausanne,FC Lugano,1,2
21/09/2024,FC Basel 1893,FC Zurich,0,2
21/09/2024,FC ST. Gallen,FC Luzern,2,3
21/09/2024,Grasshoppers,Servette FC,2,2
22/09/2024,FC Sion,FC Lugano,0,0
22/09/2024,FC Winterthur,BSC Young Boys,1,4
22/09/2024,Lausanne,Yverdon Sport,3,1
24/09/2024,FC ST. Gallen,FC Zurich,4,1
28/09/2024,BSC Young Boys,Grasshoppers,0,1
28/09/2024,Servette FC,Lausanne,1,0
28/09/2024,Yverdon Sport,FC ST. Gallen,1,0
29/09/2024,FC Lugano,FC Winterthur,2,1
29/09/2024,FC Luzern,FC Basel 1893,1,0
29/09/2024,FC Zurich,FC Sion,1,0
05/10/2024,FC Luzern,Lausanne,2,2
05/10/2024,FC Sion,Yverdon Sport,1,1
05/10/2024,FC Winterthur,Grasshoppers,1,0
06/10/2024,FC Basel 1893,BSC Young Boys,1,0
06/10/2024,FC ST. Gallen,Servette FC,1,1
06/10/2024,FC Zurich,FC Lugano,1,1
19/10/2024,BSC Young Boys,FC Luzern,2,1
19/10/2024,Grasshoppers,FC Zurich,1,2
19/10/2024,Servette FC,FC Sion,3,0
20/10/2024,FC Basel 1893,FC ST. Gallen,2,1
20/10/2024,Lausanne,FC Winterthur,2,0
20/10/2024,Yverdon Sport,FC Lugano,2,0
26/10/2024,FC Luzern,Yverdon Sport,2,3
26/10/2024,FC Winterthur,FC Basel 1893,1,6
26/10/2024,Lausanne,Grasshoppers,3,0
27/10/2024,FC Lugano,BSC Young Boys,2,0
27/10/2024,FC Sion,FC ST. Gallen,2,2
27/10/2024,FC Zurich,Servette FC,1,3
29/10/2024,Yverdon Sport,Lausanne,0,3
30/10/2024,BSC Young Boys,FC Basel 1893,3,2
30/10/2024,FC ST. Gallen,FC Winterthur,2,2
30/10/2024,FC Sion,FC Zurich,0,2
31/10/2024,Grasshoppers,FC Lugano,1,1
31/10/2024,Servette FC,FC Luzern,2,2
02/11/2024,FC Basel 1893,FC Winterthur,5,0
02/11/2024,FC ST. Gallen,FC Sion,1,1
02/11/2024,FC Zurich,BSC Young Boys,0,0
03/11/2024,FC Lugano,Yverdon Sport,2,0
03/11/2024,FC Luzern,Grasshoppers,2,0
03/11/2024,Lausanne,Servette FC,1,0
09/11/2024,FC Winterthur,Lausanne,1,0
09/11/2024,Servette FC,FC Zurich,1,1
09/11/2024,Yverdon Sport,FC Basel 1893,1,4
10/11/2024,BSC Young Boys,FC Lugano,2,1
10/11/2024,FC Sion,FC Luzern,4,2
10/11/2024,Grasshoppers,FC ST. Gallen,1,2
23/11/2024,FC Luzern,BSC Young Boys,1,1
23/11/2024,Grasshoppers,FC Winterthur,1,1
23/11/2024,Lausanne,FC Sion,1,0
24/11/2024,FC Basel 1893,Servette FC,3,1
24/11/2024,FC Lugano,FC Zurich,4,1
24/11/2024,FC ST. Gallen,Yverdon Sport,0,0
30/11/2024,FC Basel 1893,Lausanne,1,1
30/11/2024,FC Zurich,Grasshoppers,1,1
30/11/2024,Yverdon Sport,FC Luzern,0,1
01/12/2024,BSC Young Boys,FC ST. Gallen,3,1
01/12/2024,FC Winterthur,FC Sion,1,3
01/12/2024,Servette FC,FC Lugano,3,0
07/12/2024,FC Luzern,FC Lugano,1,4
07/12/2024,FC Sion,BSC Young Boys,3,1
07/12/2024,Grasshoppers,Yverdon Sport,1,1
08/12/2024,FC ST. Gallen,FC Basel 1893,1,1
08/12/2024,Lausanne,FC Zurich,3,0
08/12/2024,Servette FC,FC Winterthur,1,1
14/12/2024,FC Basel 1893,Grasshoppers,0,1
14/12/2024,FC Winterthur,FC Luzern,3,4
14/12/2024,Yverdon Sport,FC Sion,0,1
