Date;League;HomeTeam;AwayTeam;Odd_Over25;Odd_BTTS_Yes;KickoffUTC
2026-08-02;coreia;Daejeon Citizen;Gwangju FC;1.89;2.05;2026-08-02T11:30:00+01:00
2026-08-02;coreia;Jeju United FC;Incheon United;2.46;2.05;2026-08-02T11:30:00+01:00
2026-08-02;coreia;Ulsan Hyundai FC;FC Anyang;1.87;1.75;2026-08-02T11:30:00+01:00
2026-08-02;finlandia;AC Oulu;Ilves;1.72;1.62;2026-08-02T15:00:00+01:00
2026-08-02;finlandia;VPS;Inter Turku;2.06;1.73;2026-08-02T13:00:00+01:00
2026-08-02;mls;Chicago Fire;Charlotte;1.46;1.56;2026-08-02T01:30:00+01:00
2026-08-02;mls;Colorado Rapids;Austin;1.72;1.67;2026-08-02T02:30:00+01:00
2026-08-02;mls;Sporting Kansas City;Houston Dynamo;1.67;1.57;2026-08-02T01:30:00+01:00
2026-08-02;mls;St. Louis City;Real Salt Lake;1.55;1.50;2026-08-02T01:30:00+01:00
2026-08-02;mls_next_pro;Chicago Fire II;FC Cincinnati II;1.48;1.52;2026-08-02T21:00:00+01:00
2026-08-02;mls_next_pro;Huntsville City;Crown Legacy;1.45;1.46;2026-08-02T01:00:00+01:00
2026-08-02;mls_next_pro;New York RB II;New England II;1.50;1.41;2026-08-02T22:00:00+01:00
2026-08-02;noruega;Aalesund;Tromso;1.70;1.62;2026-08-02T16:00:00+01:00
2026-08-02;noruega;Brann;Rosenborg;1.50;1.49;2026-08-02T18:15:00+01:00
2026-08-02;noruega;KFUM Oslo;Kristiansund BK;1.75;1.75;2026-08-02T16:00:00+01:00
2026-08-02;noruega;Molde;Sarpsborg 08 FF;1.45;1.50;2026-08-02T16:00:00+01:00
2026-08-02;suecia;AIK Stockholm;Orgryte IS;1.55;1.70;2026-08-02T15:30:00+01:00
2026-08-02;suecia;IF Brommapojkarna;Malmo FF;1.65;1.53;2026-08-02T13:00:00+01:00
2026-08-02;suecia;IFK Goteborg;Degerfors IF;1.83;1.75;2026-08-02T13:00:00+01:00
2026-08-03;finlandia;SJK;HJK Helsinki;1.53;1.50;2026-08-03T17:00:00+01:00
2026-08-03;suecia;Djurgardens IF;Vasteras SK FK;1.48;1.62;2026-08-03T18:00:00+01:00
2026-08-03;suecia;Halmstad;Sirius;1.45;1.68;2026-08-03T18:00:00+01:00
2026-08-07;alemanha2;VfL Bochum;Hertha BSC;1.61;1.50;2026-08-07T19:30:00+01:00
2026-08-07;belgica;Club Brugge KV;Kortrijk;1.50;1.91;2026-08-07T19:45:00+01:00
2026-08-07;finlandia;SJK;Gnistan;1.56;1.49;2026-08-07T17:00:00+01:00
2026-08-07;noruega;Sandefjord;KFUM Oslo;1.68;1.55;2026-08-07T18:00:00+01:00
2026-08-07;paises_baixos;Cambuur;Excelsior;1.65;1.53;2026-08-07T19:00:00+01:00
2026-08-07;portugal;Estoril;Famalicao;1.96;1.75;2026-08-07T20:15:00+01:00
