League;Market;TotalPicks;Wins;Losses;Pending;WinRate%;AvgOdds;TotalStake;TotalProfit;ROI%;Yield%;AvgEdge%;AvgKelly;LastUpdate;Tier
Ligue 1;BTTS;1;1;0;0;100.0;2.0;0.82;0.82;100.0;100.0;6.75;0.82;2026-08-07T17:38:56.939096Z;Unproven
Veikkausliiga;BTTS;1;1;0;0;100.0;1.87;1.48;1.29;87.16;87.16;8.76;1.48;2026-08-07T17:38:56.957117Z;Unproven
MLS;BTTS;2;2;0;0;100.0;1.745;0.57;0.42;73.68;73.68;3.29;0.285;2026-08-07T17:38:56.943554Z;Unproven
Bundesliga;BTTS;1;1;0;0;100.0;1.7;0.07;0.05;71.43;71.43;1.82;0.07;2026-08-07T17:38:56.924770Z;Unproven
MLS Next Pro;BTTS;1;1;0;0;100.0;1.67;0.61;0.41;67.21;67.21;5.23;0.61;2026-08-07T17:38:56.946007Z;Unproven
Premier League;O2.5;2;1;1;0;50.0;1.71;1.03;0.62;60.19;60.19;8.68;0.515;2026-08-07T17:38:56.949062Z;Unproven
MLS Next Pro;O2.5;4;4;0;0;100.0;1.603;1.39;0.83;59.71;59.71;5.57;0.3475;2026-08-07T17:38:56.947037Z;Elite
Eliteserien;BTTS;3;2;1;0;66.67;1.72;0.38;0.2;52.63;52.63;2.19;0.1267;2026-08-07T17:38:56.930681Z;Elite
Allsvenskan;O2.5;22;12;5;5;70.59;1.745;10.08;2.16;21.43;21.43;6.84;0.5855;2026-08-07T17:38:56.923700Z;Elite
Veikkausliiga;O2.5;27;14;12;1;53.85;1.739;17.51;3.65;20.85;20.85;5.07;0.6856;2026-08-07T17:38:56.958481Z;Elite
Serie A;O2.5;3;2;1;0;66.67;1.893;2.32;0.21;9.05;9.05;10.27;0.7733;2026-08-07T17:38:56.953872Z;Strong
Liga Portugal 2;O2.5;3;0;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36;2026-08-07T17:38:56.938041Z;Neutral
Ligue 2;O2.5;3;0;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43;2026-08-07T17:38:56.942515Z;Neutral
Ligue 2;BTTS;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;2026-08-07T17:38:56.941276Z;Unproven
Super League;O2.5;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37;2026-08-07T17:38:56.956096Z;Unproven
Eliteserien;O2.5;16;10;3;3;76.92;1.692;10.7;-0.35;-3.27;-3.27;8.12;0.8594;2026-08-07T17:38:56.932082Z;Weak
Serie A;BTTS;2;1;1;0;50.0;2.25;1.15;-0.27;-23.48;-23.48;5.89;0.575;2026-08-07T17:38:56.952832Z;Unproven
MLS;O2.5;29;13;13;1;50.0;1.618;16.45;-6.12;-37.2;-37.2;6.03;0.6207;2026-08-07T17:38:56.944957Z;Weak
Campeonato Brasileiro Serie A;BTTS;3;1;1;0;50.0;1.805;1.52;-0.6;-39.47;-39.47;7.04;1.0067;2026-08-07T17:38:56.927198Z;Weak
Allsvenskan;BTTS;3;1;2;0;33.33;1.773;1.45;-1.35;-93.1;-93.1;4.13;0.4833;2026-08-07T17:38:56.922297Z;Weak
Jupiler Pro League;O2.5;9;1;3;5;25.0;1.83;2.69;-2.58;-95.91;-95.91;6.54;0.46;2026-08-07T17:38:56.934786Z;Weak
Campeonato Brasileiro Serie A;O2.5;12;0;8;2;0.0;1.989;4.59;-4.59;-100.0;-100.0;6.52;0.6292;2026-08-07T17:38:56.928613Z;Weak
2. Bundesliga;O2.5;7;0;2;5;0.0;1.66;0.75;-0.75;-100.0;-100.0;4.36;0.2057;2026-08-07T17:38:56.921149Z;Weak
Primeira Liga;O2.5;5;0;1;4;0.0;2.2;1.18;-1.18;-100.0;-100.0;11.43;0.78;2026-08-07T17:38:56.951798Z;Weak
Eredivisie;O2.5;3;0;1;2;0.0;1.55;0.02;-0.02;-100.0;-100.0;1.24;0.4133;2026-08-07T17:38:56.933437Z;Weak
Serie B;O2.5;3;0;3;0;0.0;1.817;3.41;-3.41;-100.0;-100.0;8.23;1.1367;2026-08-07T17:38:56.954900Z;Weak
LaLiga;O2.5;2;0;2;0;0.0;1.86;0.45;-0.45;-100.0;-100.0;3.79;0.225;2026-08-07T17:38:56.936838Z;Unproven
Primeira Liga;BTTS;2;0;1;1;0.0;2.1;0.41;-0.41;-100.0;-100.0;4.86;0.445;2026-08-07T17:38:56.950430Z;Unproven
Bundesliga;O2.5;1;0;1;0;0.0;1.84;1.25;-1.25;-100.0;-100.0;14.19;1.25;2026-08-07T17:38:56.925795Z;Unproven
Championship;O2.5;1;0;1;0;0.0;2.15;0.49;-0.49;-100.0;-100.0;6.85;0.49;2026-08-07T17:38:56.929646Z;Unproven
K League 1;O2.5;1;0;1;0;0.0;2.08;1.21;-1.21;-100.0;-100.0;8.88;1.21;2026-08-07T17:38:56.935811Z;Unproven
Ligue 1;O2.5;1;0;1;0;0.0;1.72;0.37;-0.37;-100.0;-100.0;5.24;0.37;2026-08-07T17:38:56.940110Z;Unproven
Premier League;BTTS;1;0;1;0;0.0;1.67;0.29;-0.29;-100.0;-100.0;3.6;0.29;2026-08-07T17:38:56.948046Z;Unproven
