Date;League;LeagueName;HomeTeam;AwayTeam;LambdaHome;LambdaAway;LambdaTotal;KickoffUTC;Market;ProbModel;Odd;ProbMarket;Edge;KellyTrue;PassedQualityFilter;QualityRejectReason;EdgeMinDynamic;EdgeMinFinal;ProbGap;StakeFracRaw;StakeFrac;Stake€;DailyScale;Bankroll€
2026-08-28;portugal2;Liga Portugal 2;União de Leiria;Tondela;1.49;1.9;3.39;2026-08-28T18:00:00+01:00;BTTS;0.583;1.8;0.556;0.0274;0.0616;True;;0.0175;0.0175;0.027;0.003;0.002;0.1;0.6658745851840591;50.0
2026-08-29;suecia;Allsvenskan;IF Elfsborg;Degerfors IF;1.764;1.844;3.608;2026-08-29T14:00:00+01:00;BTTS;0.617;1.91;0.524;0.0937;0.1967;True;;0.0225;0.0225;0.094;0.0332;0.0221;1.1;0.6658745851840591;50.0
2026-08-29;italia;Serie A;Monza;Udinese;1.514;1.9;3.414;2026-08-29T17:30:00+01:00;BTTS;0.587;1.95;0.513;0.0742;0.1523;True;;0.0225;0.0225;0.074;0.0203;0.0135;0.68;0.6658745851840591;50.0
2026-08-29;portugal2;Liga Portugal 2;Portimonense;Leixoes;1.532;1.9;3.432;2026-08-29T11:00:00+01:00;BTTS;0.59;1.8;0.556;0.0344;0.0774;True;;0.0175;0.0175;0.034;0.0048;0.0032;0.16;0.6658745851840591;50.0
2026-08-29;turquia;Super Lig;Galatasaray;Göztepe;1.721;1.404;3.126;2026-08-29T19:30:00+01:00;BTTS;0.548;1.89;0.529;0.0192;0.0408;True;;0.0175;0.0175;0.019;0.0014;0.0009;0.05;0.6658745851840591;50.0
2026-08-30;italia2;Serie B;Pisa;Catanzaro;2.2;1.729;3.929;2026-08-30T20:00:00+01:00;BTTS;0.647;2.05;0.488;0.14;0.3113;True;;0.0325;0.0325;0.159;0.056;0.0266;1.33;0.6658745851840591;50.0
2026-08-30;portugal;Primeira Liga;Casa Pia;Moreirense;1.66;1.775;3.435;2026-08-30T18:00:00+01:00;BTTS;0.595;2.05;0.488;0.1074;0.2098;True;;0.0325;0.0325;0.107;0.0378;0.0251;1.26;0.6658745851840591;50.0
2026-08-30;franca;Ligue 1;Paris FC;Nice;1.886;1.683;3.568;2026-08-30T14:00:00+01:00;BTTS;0.611;1.85;0.541;0.0707;0.1538;True;;0.0175;0.0175;0.071;0.0196;0.013;0.65;0.6658745851840591;50.0
2026-08-30;premier;Premier League;Leeds;Brentford;1.984;1.864;3.848;2026-08-30T14:00:00+01:00;BTTS;0.645;1.7;0.588;0.0567;0.1378;True;;0.0075;0.0075;0.057;0.0141;0.0094;0.47;0.6658745851840591;50.0
2026-08-30;paises_baixos;Eredivisie;Feyenoord;ADO Den Haag;1.93;1.522;3.452;2026-08-30T13:30:00+01:00;BTTS;0.591;1.81;0.552;0.0389;0.0869;True;;0.0175;0.0175;0.039;0.0061;0.004;0.2;0.6658745851840591;50.0
