Data;Liga;Jogo;Mercado;Odd;Stake€;Edge%;Apostada;OddReal;StakeReal€;Resultado;Placar;Lucro€;LucroReal€;KickoffUTC;SettlementReason;MissingAttempts
2026-05-20;Primeira Liga;Torreense vs Casa Pia;O2.5;2.2;1.18;11.43;;;;L;;-1.18;;;;
2026-05-20;Serie B;Palermo vs Catanzaro;O2.5;1.75;1.25;10.33;;;;L;;-1.25;;;;
2026-05-21;Bundesliga;VfL Wolfsburg vs SC Paderborn 07;O2.5;1.84;1.25;14.19;;;;L;;-1.25;;;;
2026-05-21;Jupiler Pro League;Gent vs Union St. Gilloise;O2.5;1.93;0.41;5.91;;;;L;;-0.41;;;;
2026-05-22;2. Bundesliga;Rot-Weiß Essen vs SpVgg Greuther Fürth;O2.5;1.62;0.12;2.91;;;;L;;-0.12;;;;
2026-05-23;Championship;Hull City vs Middlesbrough;O2.5;2.15;0.49;6.85;;;;L;;-0.49;;;;
2026-05-23;Jupiler Pro League;Standard Liege vs Charleroi;O2.5;1.87;0.22;4.24;;;;L;;-0.22;;;;
2026-05-23;LaLiga;Celta Vigo vs Sevilla;O2.5;1.99;0.42;6.08;;;;L;;-0.42;;;;
2026-05-23;LaLiga;Girona vs Elche;O2.5;1.73;0.03;1.5;;;;L;;-0.03;;;;
2026-05-23;Serie A;Lazio vs Pisa;O2.5;1.85;1.25;13.39;;;;W;;1.06;;;;
2026-05-24;Eredivisie;Ajax vs Utrecht;O2.5;1.55;0.02;1.24;;;;L;;-0.02;;2026-05-24T10:15:00+00:00;;
2026-05-24;Jupiler Pro League;Union St. Gilloise vs Anderlecht;O2.5;1.8;0.06;2.16;;;;W;;0.05;;;;
2026-05-24;Premier League;Nottingham Forest vs Bournemouth;O2.5;1.68;0.08;2.83;;;;L;;-0.08;;;;
2026-05-24;Premier League;West Ham vs Leeds;BTTS;1.67;0.29;3.6;;;;L;;-0.29;;;;
2026-05-24;Premier League;West Ham vs Leeds;O2.5;1.74;0.95;14.53;;;;W;;0.7;;;;
2026-05-24;Serie A;AC Milan vs Cagliari;BTTS;2.2;0.4;4.9;;;;W;;0.48;;;;
2026-05-24;Serie A;Hellas Verona vs AS Roma;BTTS;2.3;0.75;6.88;;;;L;;-0.75;;;;
2026-05-24;Serie A;Napoli vs Udinese;O2.5;1.96;0.95;14.94;;;;L;;-0.95;;;;
2026-05-24;Serie A;Torino vs Juventus;O2.5;1.87;0.12;2.48;;;;W;;0.1;;;;
2026-05-24;Serie B;Catanzaro vs Monza;O2.5;1.98;0.29;5.02;;;;L;;-0.29;;;;
2026-05-25;Bundesliga;SC Paderborn 07 vs VfL Wolfsburg;BTTS;1.7;0.07;1.82;;;;W;;0.05;;;;
2026-05-26;2. Bundesliga;SpVgg Greuther Fürth vs Rot-Weiß Essen;O2.5;1.7;0.63;5.81;;;;L;;-0.63;;;;
2026-05-26;Ligue 1;Saint Etienne vs Nice;O2.5;1.72;0.37;5.24;;;;L;;-0.37;;2026-05-26T18:45:00+00:00;;
2026-05-28;Primeira Liga;Casa Pia vs Torreense;BTTS;2.1;0.41;4.86;;;;L;;-0.41;;;;
2026-05-29;Ligue 1;Nice vs Saint Etienne;BTTS;2.0;0.82;6.75;;;;W;;0.82;;2026-05-29T18:45:00+00:00;;
2026-05-29;Serie B;Monza vs Catanzaro;O2.5;1.72;1.87;9.34;;;;L;;-1.87;;;;
2026-05-31;Jupiler Pro League;Gent vs Genk;O2.5;1.72;2.0;13.86;;;;L;;-2.0;;;;
2026-06-13;MLS;Real Monarchs vs Portland Timbers II;O2.5;1.58;0.34;3.75;;;;W;;0.2;;2026-06-13T21:30:00+00:00;;
2026-06-13;Veikkausliiga;Ilves vs Turku PS;O2.5;1.73;0.11;2.26;;;;L;;-0.11;;2026-06-13T12:00:00+00:00;;
2026-06-13;Veikkausliiga;Lahti vs SJK;O2.5;1.96;1.5;9.04;;;;W;;1.44;;2026-06-13T16:00:00+00:00;;
2026-06-14;MLS;Atlanta United II vs Chattanooga;O2.5;1.57;0.28;3.34;;;;W;;0.16;;2026-06-13T23:00:00+00:00;;
2026-06-14;MLS;Carolina Core vs Crown Legacy;O2.5;1.55;0.16;2.52;;;;L;;-0.16;;2026-06-14T00:00:00+00:00;;
2026-06-14;MLS;Minnesota United II vs Austin II;O2.5;1.8;1.53;11.48;;;;W;;1.22;;2026-06-14T19:00:00+00:00;;
2026-06-17;Veikkausliiga;Gnistan vs Lahti;O2.5;1.82;0.52;5.11;;;;L;;-0.52;;2026-06-17T18:00:00+00:00;;
2026-06-17;Veikkausliiga;HJK Helsinki vs Inter Turku;O2.5;1.68;0.41;4.29;;;;W;;0.28;;2026-06-17T15:00:00+00:00;;
2026-06-17;Veikkausliiga;Ilves vs FF Jaro;O2.5;1.55;0.05;1.47;;;;W;;0.03;;2026-06-17T15:00:00+00:00;;
2026-06-17;Veikkausliiga;Turku PS vs KuPS;O2.5;1.76;0.22;3.24;;;;W;;0.17;;2026-06-17T15:00:00+00:00;;
2026-06-18;MLS;Tacoma Defiance vs Houston Dynamo FC II;O2.5;1.6;0.48;4.54;;;;W;;0.29;;2026-06-18T02:00:00+00:00;;
2026-06-20;MLS;Minnesota United II vs St. Louis City II;O2.5;1.58;0.34;3.75;;;;W;;0.2;;2026-06-20T20:00:00+00:00;;
2026-06-21;MLS;Colorado Rapids II vs Portland Timbers II;O2.5;1.58;0.34;3.75;;;;L;;-0.34;;2026-06-21T00:00:00+00:00;;
2026-06-21;MLS;Huntsville City vs Crown Legacy;O2.5;1.55;0.16;2.52;;;;P;;0.0;;2026-06-21T01:00:00+01:00;missing_fixture_timeout;3
