Date;League;LeagueName;HomeTeam;AwayTeam;LambdaHome;LambdaAway;LambdaTotal;KickoffUTC;Market;ProbModel;Odd;ProbMarket;Edge;KellyTrue;PassedQualityFilter;QualityRejectReason;EdgeMinDynamic;EdgeMinFinal;ProbGap;StakeFracRaw;StakeFrac;Stake€;DailyScale;Bankroll€;_diag_raw_poisson;_diag_base_adj_factor;_diag_after_base_adj;_diag_pen_ratio;_diag_pen_gap;_diag_pen_smaller;_diag_pen_product;_diag_total_penalty;_diag_prob_unclamped;_diag_prob_clamped;_diag_prob_clamp_delta;_diag_market_prob;_diag_edge_before_clamp;_diag_edge_final;_diag_edge_clamp_delta;_diag_raw_edge;_diag_edge_after_base_adj;_diag_edge_after_penalties;_diag_edge_lost_base_adj;_diag_edge_lost_penalty_chain;_diag_edge_lost_clamping
2026-08-17;espanha2;Segunda División;Almeria;Eldense;2.2;1.475;3.675;2026-08-17T20:30:00+01:00;BTTS;0.607;2.0;0.5;0.1068;0.2136;True;;0.0225;0.0225;0.10699999999999998;0.0385;0.0385;1.92;1.0;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;turquia;Super Lig;Samsunspor;Göztepe;1.721;1.404;3.126;2026-08-17T19:30:00+01:00;O2.5;0.604;2.01;0.498;0.1068;0.2126;True;;0.0225;0.0225;0.10599999999999998;0.0383;0.0143;0.72;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;mls_next_pro;MLS Next Pro;The Town;St. Louis City II;2.2;1.515;3.715;2026-08-17T03:30:00+01:00;O2.5;0.717;1.62;0.617;0.0998;0.2607;True;;0.0075;0.0075;0.09999999999999998;0.0468;0.015;0.75;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;finlandia;Veikkausliiga;Gnistan;Ilves;2.168;1.9;4.068;2026-08-17T16:00:00+01:00;O2.5;0.72;1.6;0.625;0.095;0.2533;True;;0.0075;0.0075;0.09499999999999997;0.0433;0.015;0.75;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;mls;MLS;Seattle Sounders;Vancouver Whitecaps;1.82;1.81;3.629;2026-08-17T03:30:00+01:00;O2.5;0.702;1.6;0.625;0.0774;0.2065;True;;0.0075;0.0075;0.07699999999999996;0.0288;0.0108;0.54;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;portugal2;Liga Portugal 2;Felgueiras 1932;AVS;1.462;1.308;2.77;2026-08-17T18:00:00+01:00;O2.5;0.523;2.1;0.476;0.0472;0.09;True;;0.0325;0.0325;0.04700000000000004;0.0076;0.0029;0.14;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-17;suecia;Allsvenskan;BK Hacken;Halmstad;1.897;1.523;3.42;2026-08-17T18:00:00+01:00;BTTS;0.588;1.73;0.578;0.0101;0.0241;True;;0.0075;0.0075;0.010000000000000009;0.0004;0.0004;0.02;1.0;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-19;espanha;LaLiga;Atletico Madrid;Malaga;1.654;1.286;2.94;2026-08-19T20:00:00+01:00;BTTS;0.518;2.3;0.435;0.0832;0.1472;True;;0.0325;0.0325;0.08300000000000002;0.022;0.022;1.1;1.0;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-20;mls;MLS;Colorado Rapids;Los Angeles FC;2.012;1.852;3.865;2026-08-20T02:30:00+01:00;O2.5;0.72;1.68;0.595;0.1248;0.3082;True;;0.0075;0.0075;0.125;0.0555;0.015;0.75;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-20;mls;MLS;Toronto FC;Charlotte;2.2;1.615;3.815;2026-08-20T00:30:00+01:00;O2.5;0.72;1.68;0.595;0.1248;0.3082;True;;0.0075;0.0075;0.125;0.0555;0.015;0.75;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-20;espanha;LaLiga;Rayo Vallecano;Alaves;1.654;1.286;2.94;2026-08-20T20:00:00+01:00;BTTS;0.518;2.25;0.444;0.0735;0.1323;True;;0.0325;0.0325;0.07400000000000001;0.0175;0.0175;0.88;1.0;50.0;;;;;;;;;;;;;;;;;;;;;
2026-08-21;espanha;LaLiga;Real Betis;Real Sociedad;1.654;1.286;2.94;2026-08-21T20:00:00+01:00;O2.5;0.563;2.2;0.455;0.1087;0.1994;True;;0.0325;0.0325;0.10799999999999993;0.0359;0.0135;0.67;0.37489421353930985;50.0;;;;;;;;;;;;;;;;;;;;;
