Date,League,LeagueName,HomeTeam,AwayTeam,LambdaHome,LambdaAway,LambdaTotal,KickoffUTC,Market,ProbModel,Odd,ProbMarket,Edge,KellyTrue,PassedQualityFilter,QualityRejectReason,EdgeMinDynamic,EdgeMinFinal,ProbGap,StakeFracRaw,StakeFrac,Stake€,DailyScale,Bankroll€,_diag_raw_poisson,_diag_base_adj_factor,_diag_after_base_adj,_diag_pen_ratio,_diag_pen_gap,_diag_pen_smaller,_diag_pen_product,_diag_total_penalty,_diag_prob_unclamped,_diag_prob_clamped,_diag_prob_clamp_delta,_diag_market_prob,_diag_edge_before_clamp,_diag_edge_final,_diag_edge_clamp_delta,_diag_raw_edge,_diag_edge_after_base_adj,_diag_edge_after_penalties,_diag_edge_lost_base_adj,_diag_edge_lost_penalty_chain,_diag_edge_lost_clamping
2026-08-29,mls,MLS,Seattle Sounders,Chicago Fire,1.82,1.877,3.696,2026-08-29T21:30:00+01:00,O2.5,0.714,1.6,0.625,0.0889,0.2371,True,,0.0075,0.0075,0.08899999999999997,0.038,0.0105,0.53,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,mls_next_pro,MLS Next Pro,Portland Timbers II,Austin II,1.634,1.9,3.534,2026-08-30T21:00:00+01:00,O2.5,0.685,1.85,0.541,0.1449,0.3154,True,,0.0175,0.0175,0.14400000000000002,0.0568,0.0111,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,italia2,Serie B,Pisa,Catanzaro,2.2,1.729,3.929,2026-08-30T20:00:00+01:00,BTTS,0.647,2.07,0.483,0.14,0.3176,True,,0.0325,0.0325,0.16400000000000003,0.0572,0.04,2.0,1.0,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,turquia,Super Lig,Eyüpspor,Alanyaspor,1.721,1.404,3.126,2026-08-30T17:00:00+01:00,O2.5,0.604,2.15,0.465,0.1392,0.2603,True,,0.0325,0.0325,0.13899999999999996,0.0469,0.0111,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,alemanha,Bundesliga,SC Freiburg,Werder Bremen,1.882,1.652,3.534,2026-08-30T14:30:00+01:00,O2.5,0.685,1.81,0.552,0.1329,0.2969,True,,0.0175,0.0175,0.133,0.0534,0.0111,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,alemanha,Bundesliga,FC Augsburg,FC Schalke 04,1.882,1.652,3.534,2026-08-30T16:30:00+01:00,O2.5,0.685,1.77,0.565,0.1204,0.2767,True,,0.0175,0.0175,0.1200000000000001,0.0498,0.0111,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,portugal,Primeira Liga,Casa Pia,Moreirense,1.66,1.775,3.435,2026-08-30T18:00:00+01:00,BTTS,0.595,2.07,0.483,0.1122,0.217,True,,0.0325,0.0325,0.11199999999999999,0.0391,0.0391,1.95,1.0,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,portugal2,Liga Portugal 2,FC Porto B,Penafiel,1.963,1.036,2.999,2026-08-30T18:00:00+01:00,O2.5,0.577,2.15,0.465,0.1116,0.2086,True,,0.0325,0.0325,0.11199999999999993,0.0375,0.0104,0.52,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,espanha2,Segunda División,Cordoba,Granada CF,1.855,1.372,3.227,2026-08-30T20:30:00+01:00,O2.5,0.626,1.92,0.521,0.1048,0.2187,True,,0.0225,0.0225,0.10499999999999998,0.0394,0.0109,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,franca,Ligue 1,Monaco,Marseille,2.2,1.9,4.1,2026-08-30T19:45:00+01:00,O2.5,0.72,1.6,0.625,0.095,0.2533,True,,0.0075,0.0075,0.09499999999999997,0.0433,0.0111,0.55,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,noruega,Eliteserien,Lillestrom,Fredrikstad,2.017,1.479,3.496,2026-08-30T18:15:00+01:00,O2.5,0.678,1.7,0.588,0.0903,0.2192,True,,0.0075,0.0075,0.09000000000000008,0.0356,0.0099,0.49,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,noruega,Eliteserien,Start,KFUM Oslo,2.017,1.479,3.496,2026-08-30T16:00:00+01:00,O2.5,0.678,1.68,0.595,0.0833,0.2057,True,,0.0075,0.0075,0.08300000000000007,0.0308,0.0085,0.43,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,espanha,LaLiga,Real Madrid,Malaga,1.654,1.286,2.94,2026-08-30T16:00:00+01:00,BTTS,0.518,2.25,0.444,0.0735,0.1323,True,,0.0325,0.0325,0.07400000000000001,0.0175,0.0175,0.88,1.0,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,turquia,Super Lig,Beşiktaş,Çorum FK,1.721,1.404,3.126,2026-08-31T19:30:00+01:00,O2.5,0.604,1.88,0.532,0.0724,0.1548,True,,0.0175,0.0175,0.07199999999999995,0.0202,0.0056,0.28,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,finlandia,Veikkausliiga,VPS,Lahti,1.604,1.505,3.108,2026-08-31T17:00:00+01:00,O2.5,0.601,1.78,0.562,0.0388,0.0885,True,,0.0175,0.0175,0.038999999999999924,0.0062,0.0017,0.09,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,franca2,Ligue 2,Dijon,Saint Etienne,1.561,1.261,2.822,2026-08-31T19:45:00+01:00,O2.5,0.536,2.01,0.498,0.0384,0.0764,True,,0.0225,0.0225,0.038000000000000034,0.0053,0.0015,0.07,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,turquia,Super Lig,Amed,Trabzonspor,1.721,1.404,3.126,2026-08-31T19:30:00+01:00,O2.5,0.604,1.76,0.568,0.0362,0.0838,True,,0.0175,0.0175,0.03600000000000003,0.0055,0.0015,0.08,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,mls,MLS,St. Louis City,FC Dallas,1.451,1.9,3.351,2026-08-31T00:00:00+01:00,O2.5,0.651,1.62,0.617,0.0334,0.0873,True,,0.0075,0.0075,0.03400000000000003,0.0053,0.0015,0.07,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,finlandia,Veikkausliiga,AC Oulu,SJK,1.725,1.368,3.093,2026-08-31T17:00:00+01:00,O2.5,0.597,1.72,0.581,0.016,0.0381,True,,0.0075,0.0075,0.016000000000000014,0.0011,0.0003,0.02,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-31,suecia,Allsvenskan,Djurgardens IF,Mjallby AIF,1.77,1.569,3.339,2026-08-31T18:00:00+01:00,O2.5,0.648,1.57,0.637,0.0114,0.0315,True,,0.0075,0.0075,0.01100000000000001,0.0006,0.0002,0.01,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-09-01,championship,Championship,Birmingham,Southampton,1.547,1.557,3.104,2026-09-01T20:00:00+01:00,O2.5,0.6,1.8,0.556,0.0441,0.0993,True,,0.0175,0.0175,0.04399999999999993,0.0079,0.0022,0.11,0.2769555454073355,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,brasil,Campeonato Brasileiro Serie A,Mirassol,Palmeiras,1.707,1.245,2.952,2026-08-30T22:30:00+01:00,O2.5,0.566,2.18,0.459,0.1072,0.1981,True,,0.0325,0.0325,0.10699999999999993,0.0357,0.0225,1.12,0.6308684606953939,50.0,,,,,,,,,,,,,,,,,,,,,
2026-08-30,mls,MLS,Colorado Rapids,Real Salt Lake,2.2,1.317,3.517,2026-08-30T02:30:00+01:00,O2.5,0.682,1.67,0.599,0.0835,0.2081,True,,0.0075,0.0075,0.08300000000000007,0.0313,0.0197,0.99,0.6308684606953939,50.0,,,,,,,,,,,,,,,,,,,,,
