Data;Liga;Jogo;Mercado;Odd;Stake€;Edge%;Apostada;OddReal;StakeReal€;Resultado;Placar;Lucro€;LucroReal€;KickoffUTC;SettlementReason;MissingAttempts
2026-08-25;LaLiga;Valencia vs Real Betis;O2.5;2.19;0.45;10.67;;;;;;;;2026-08-25T20:00:00+01:00;;
2026-08-28;Ligue 1;Lille vs Paris Saint Germain;O2.5;1.81;0.34;8.13;;;;;;;;2026-08-28T19:45:00+01:00;;
2026-08-28;2. Bundesliga;Eintracht Braunschweig vs Hertha BSC;O2.5;1.75;0.3;7.49;;;;;;;;2026-08-28T17:30:00+01:00;;
2026-08-28;2. Bundesliga;VfL Bochum vs VfL Osnabrück;O2.5;1.75;0.3;7.49;;;;;;;;2026-08-28T17:30:00+01:00;;
2026-08-28;Super Lig;Gençlerbirliği S.K. vs Erzurumspor FK;O2.5;1.88;0.26;7.24;;;;;;;;2026-08-28T19:30:00+01:00;;
2026-08-28;Premier League;Crystal Palace vs Manchester City;O2.5;1.73;0.11;4.55;;;;;;;;2026-08-28T20:00:00+01:00;;
2026-08-28;Jupiler Pro League;Genk vs SK Beveren;O2.5;1.88;0.1;4.53;;;;;;;;2026-08-28T19:45:00+01:00;;
2026-08-28;Liga Portugal 2;União de Leiria vs Tondela;BTTS;1.77;0.07;1.8;;;;;;;;2026-08-28T18:00:00+01:00;;
2026-08-29;Campeonato Brasileiro Serie A;Atletico-MG vs Vitoria;O2.5;2.07;0.51;14.8;;;;;;;;2026-08-29T22:30:00+01:00;;
2026-08-29;Ligue 1;Stade Brestois 29 vs Toulouse;O2.5;2.03;0.51;14.12;;;;;;;;2026-08-29T19:45:00+01:00;;
2026-08-29;Bundesliga;FSV Mainz 05 vs SC Paderborn 07;O2.5;1.74;0.51;11.06;;;;;;;;2026-08-29T14:30:00+01:00;;
2026-08-29;Bundesliga;Union Berlin vs Eintracht Frankfurt;O2.5;1.74;0.51;11.06;;;;;;;;2026-08-29T14:30:00+01:00;;
2026-08-29;Serie A;Sassuolo vs Torino;O2.5;2.09;0.48;10.95;;;;;;;;2026-08-29T17:30:00+01:00;;
2026-08-29;Allsvenskan;IF Elfsborg vs Degerfors IF;BTTS;1.95;1.93;10.45;;;;;;;;2026-08-29T14:00:00+01:00;;
2026-08-29;Premier League;Coventry vs Hull City;O2.5;1.89;0.43;9.45;;;;;;;;2026-08-29T15:00:00+01:00;;
2026-08-29;Allsvenskan;Halmstad vs Kalmar FF;O2.5;1.87;0.38;8.76;;;;;;;;2026-08-29T16:30:00+01:00;;
2026-08-29;Serie A;Monza vs Udinese;BTTS;1.95;1.02;7.42;;;;;;;;2026-08-29T17:30:00+01:00;;
2026-08-29;MLS;Seattle Sounders vs Chicago Fire;O2.5;1.55;0.31;6.88;;;;;;;;2026-08-29T21:30:00+01:00;;
2026-08-29;Bundesliga;1. FC Köln vs 1899 Hoffenheim;O2.5;1.62;0.28;6.81;;;;;;;;2026-08-29T14:30:00+01:00;;
2026-08-29;2. Bundesliga;1. FC Nürnberg vs Arminia Bielefeld;O2.5;1.72;0.23;6.49;;;;;;;;2026-08-29T19:30:00+01:00;;
