Date;League;LeagueName;HomeTeam;AwayTeam;LambdaHome;LambdaAway;LambdaTotal;KickoffUTC;Market;ProbModel;Odd;ProbMarket;Edge;KellyTrue;PassedQualityFilter;QualityRejectReason;EdgeMinDynamic;EdgeMinFinal;ProbGap;StakeFracRaw;StakeFrac;Stake€;DailyScale;Bankroll€
2026-09-04;alemanha2;2. Bundesliga;Arminia Bielefeld;FC St. Pauli;1.802;1.527;3.329;2026-09-04T17:30:00+01:00;O2.5;0.646;1.65;0.606;0.0403;0.1023;True;;0.0075;0.0075;0.04;0.0074;0.0013;0.06;0.17116441096682972;50.0
2026-09-05;mls;MLS;New York City FC;Nashville SC;1.854;1.737;3.591;2026-09-05T00:30:00+01:00;O2.5;0.696;1.8;0.556;0.1401;0.3151;True;;0.0175;0.0175;0.14;0.0567;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;championship;Championship;QPR;Middlesbrough;1.455;1.9;3.355;2026-09-05T15:00:00+01:00;O2.5;0.651;1.91;0.524;0.1279;0.2684;True;;0.0225;0.0225;0.128;0.0483;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;portugal2;Liga Portugal 2;Tondela;FC Porto B;1.777;1.424;3.2;2026-09-05T11:00:00+01:00;O2.5;0.62;2.0;0.5;0.1201;0.2402;True;;0.0225;0.0225;0.12;0.0432;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;franca;Ligue 1;Nice;Le Mans;1.813;1.453;3.267;2026-09-05T19:45:00+01:00;O2.5;0.634;1.93;0.518;0.1157;0.2401;True;;0.0225;0.0225;0.116;0.0432;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;turquia;Super Lig;Erzurumspor FK;Konyaspor;1.721;1.404;3.126;2026-09-05T15:00:00+01:00;O2.5;0.604;2.03;0.493;0.1117;0.2202;True;;0.0225;0.0225;0.112;0.0396;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;franca2;Ligue 2;Metz;Rodez;1.791;1.727;3.518;2026-09-05T13:00:00+01:00;O2.5;0.683;1.75;0.571;0.1111;0.2592;True;;0.0175;0.0175;0.111;0.0467;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;alemanha;Bundesliga;SC Paderborn 07;SC Freiburg;1.882;1.652;3.534;2026-09-05T14:30:00+01:00;O2.5;0.685;1.72;0.581;0.1039;0.2483;True;;0.0075;0.0075;0.104;0.0447;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;premier;Premier League;Newcastle;Bournemouth;2.2;1.9;4.1;2026-09-05T12:30:00+01:00;O2.5;0.72;1.62;0.617;0.1027;0.2684;True;;0.0075;0.0075;0.103;0.0483;0.0068;0.34;0.17116441096682972;50.0
2026-09-05;alemanha;Bundesliga;Borussia Mönchengladbach;SV Elversberg;1.882;1.652;3.534;2026-09-05T14:30:00+01:00;O2.5;0.685;1.65;0.606;0.0793;0.2012;True;;0.0075;0.0075;0.079;0.0287;0.0049;0.25;0.17116441096682972;50.0
2026-09-05;suica;Super League;Grasshoppers;FC Zurich;1.818;1.604;3.422;2026-09-05T19:30:00+01:00;O2.5;0.665;1.68;0.595;0.0693;0.1712;True;;0.0075;0.0075;0.069;0.0214;0.0037;0.18;0.17116441096682972;50.0
